[2024-03-27 13:43:10] [world] The Player <Milk_Frog> has picked 1 of RED_ROSE at X= -606, Y= 68, Z= 250 that had [] enchantment(s) |  
[2024-03-27 23:17:16] [world] The Player <Char> has picked 1 of POTION at X= 1053, Y= 59, Z= 711 that had [] enchantment(s) |  
[2024-03-27 23:17:34] [world] The Player <Char> has picked 1 of GLASS_BOTTLE at X= 1051, Y= 61, Z= 717 that had [] enchantment(s) |  
[2024-03-27 23:17:55] [world] The Player <Milk_Frog> has picked 1 of GLASS_BOTTLE at X= 1052, Y= 61, Z= 715 that had [] enchantment(s) |  
[2024-03-27 23:22:44] [world] The Player <Feathery> has picked 1 of CARPET at X= 1047, Y= 24, Z= 687 that had [] enchantment(s) |  
[2024-03-27 23:24:02] [world] The Player <Milk_Frog> has picked 1 of HAY_BLOCK at X= 1062, Y= 25, Z= 681 that had [] enchantment(s) |  
[2024-03-27 23:24:03] [world] The Player <Milk_Frog> has picked 1 of POTION at X= 1064, Y= 24, Z= 682 that had [] enchantment(s) |  
[2024-03-27 23:24:03] [world] The Player <Milk_Frog> has picked 1 of POTION at X= 1064, Y= 24, Z= 681 that had [] enchantment(s) |  
[2024-03-27 23:24:04] [world] The Player <Milk_Frog> has picked 1 of POTION at X= 1064, Y= 24, Z= 682 that had [] enchantment(s) |  
[2024-03-27 23:24:06] [world] The Player <Char> has picked 6 of PUMPKIN_PIE at X= 1064, Y= 24, Z= 681 that had [] enchantment(s) |  
[2024-03-27 23:24:12] [world] The Player <Feathery> has picked 1 of IRON_FENCE at X= 1046, Y= 25, Z= 682 that had [] enchantment(s) |  
[2024-03-27 23:24:13] [world] The Player <Heinrich_Himmler> has picked 1 of POTION at X= 1065, Y= 25, Z= 680 that had [] enchantment(s) |  
[2024-03-27 23:24:15] [world] The Player <Char> has picked 1 of POTION at X= 1064, Y= 24, Z= 682 that had [] enchantment(s) |  
[2024-03-27 23:24:40] [world] The Player <Milk_Frog> has picked 1 of GLASS_BOTTLE at X= 1066, Y= 24, Z= 684 that had [] enchantment(s) |  
[2024-03-27 23:24:45] [world] The Player <Feathery> has picked 1 of IRON_FENCE at X= 1046, Y= 25, Z= 682 that had [] enchantment(s) |  
[2024-03-27 23:24:57] [world] The Player <Feathery> has picked 48 of PUMPKIN_PIE at X= 1047, Y= 24, Z= 685 that had [] enchantment(s) |  
[2024-03-27 23:25:24] [world] The Player <Char> has picked 48 of PUMPKIN_PIE at X= 1060, Y= 24, Z= 686 that had [] enchantment(s) |  
[2024-03-27 23:25:34] [world] The Player <Heinrich_Himmler> has picked 15 of PUMPKIN_PIE at X= 1059, Y= 24, Z= 686 that had [] enchantment(s) |  
[2024-03-27 23:26:27] [world] The Player <Char> has picked 1 of BOW at X= 1052, Y= 24, Z= 684 that had [Power 5, Punch 5, Flame 5, Infinite 5] enchantment(s) | God Did Not Like That
[2024-03-27 23:26:58] [world] The Player <Milk_Frog> has picked 1 of CARPET at X= 1054, Y= 24, Z= 687 that had [] enchantment(s) |  
[2024-03-27 23:27:01] [world] The Player <Feathery> has picked 1 of CARPET at X= 1055, Y= 24, Z= 687 that had [] enchantment(s) |  
[2024-03-27 23:27:13] [world] The Player <Feathery> has picked 1 of POTION at X= 1059, Y= 24, Z= 686 that had [] enchantment(s) |  
[2024-03-27 23:27:22] [world] The Player <Char> has picked 1 of GLASS_BOTTLE at X= 1054, Y= 24, Z= 688 that had [] enchantment(s) |  
[2024-03-27 23:27:28] [world] The Player <Char> has picked 1 of GLASS_BOTTLE at X= 1055, Y= 24, Z= 688 that had [] enchantment(s) |  
[2024-03-27 23:27:39] [world] The Player <Feathery> has picked 1 of GLASS_BOTTLE at X= 1056, Y= 24, Z= 684 that had [] enchantment(s) |  
[2024-03-27 23:27:58] [world] The Player <Heinrich_Himmler> has picked 1 of GLASS_BOTTLE at X= 1053, Y= 24, Z= 689 that had [] enchantment(s) |  
[2024-03-27 23:28:22] [world] The Player <Char> has picked 1 of GLASS_BOTTLE at X= 1060, Y= 24, Z= 688 that had [] enchantment(s) |  
[2024-03-27 23:28:57] [world] The Player <Feathery> has picked 2 of GLOWSTONE_DUST at X= 1054, Y= 24, Z= 680 that had [] enchantment(s) |  
[2024-03-27 23:28:58] [world] The Player <Feathery> has picked 4 of GLOWSTONE_DUST at X= 1054, Y= 25, Z= 679 that had [] enchantment(s) |  
[2024-03-27 23:29:13] [world_nether] The Player <Heinrich_Himmler> has picked 1 of ROTTEN_FLESH at X= -97, Y= 77, Z= 20 that had [] enchantment(s) |  
[2024-03-27 23:29:13] [world_nether] The Player <Heinrich_Himmler> has picked 1 of GOLD_NUGGET at X= -96, Y= 77, Z= 20 that had [] enchantment(s) |  
[2024-03-27 23:29:15] [world_nether] The Player <Heinrich_Himmler> has picked 1 of GOLD_INGOT at X= -87, Y= 77, Z= 16 that had [] enchantment(s) |  
[2024-03-27 23:29:15] [world_nether] The Player <Heinrich_Himmler> has picked 1 of GOLD_SWORD at X= -87, Y= 77, Z= 15 that had [] enchantment(s) |  
[2024-03-27 23:29:15] [world_nether] The Player <Heinrich_Himmler> has picked 2 of ROTTEN_FLESH at X= -87, Y= 77, Z= 15 that had [] enchantment(s) |  
[2024-03-27 23:29:17] [world] The Player <Feathery> has picked 3 of GLOWSTONE_DUST at X= 1054, Y= 25, Z= 679 that had [] enchantment(s) |  
[2024-03-27 23:29:39] [world_nether] The Player <Heinrich_Himmler> has picked 1 of GOLD_NUGGET at X= -79, Y= 77, Z= 16 that had [] enchantment(s) |  
[2024-03-27 23:30:12] [world] The Player <Feathery> has picked 1 of WOOD at X= 1052, Y= 18, Z= 688 that had [] enchantment(s) |  
[2024-03-27 23:30:32] [world] The Player <Feathery> has picked 1 of WOOD at X= 1051, Y= 24, Z= 689 that had [] enchantment(s) |  
[2024-03-27 23:30:35] [world] The Player <Feathery> has picked 1 of WOOD at X= 1052, Y= 22, Z= 689 that had [] enchantment(s) |  
[2024-03-27 23:30:35] [world] The Player <Feathery> has picked 2 of CARPET at X= 1052, Y= 23, Z= 688 that had [] enchantment(s) |  
[2024-03-27 23:33:00] [world] The Player <Feathery> has picked 1 of POWERED_RAIL at X= 1052, Y= 24, Z= 686 that had [] enchantment(s) |  
[2024-03-27 23:33:00] [world] The Player <Feathery> has picked 10 of ENDER_STONE at X= 1052, Y= 24, Z= 686 that had [] enchantment(s) |  
[2024-03-27 23:33:00] [world] The Player <Feathery> has picked 3 of GLASS_BOTTLE at X= 1052, Y= 24, Z= 686 that had [] enchantment(s) |  
[2024-03-27 23:33:05] [world] The Player <NezukoChan> has picked 1 of CARPET at X= 1052, Y= 24, Z= 686 that had [] enchantment(s) |  
[2024-03-27 23:33:10] [world] The Player <NezukoChan> has picked 10 of ENDER_STONE at X= 1056, Y= 24, Z= 688 that had [] enchantment(s) |  
[2024-03-27 23:33:13] [world] The Player <Feathery> has picked 1 of STONE at X= 1052, Y= 24, Z= 686 that had [] enchantment(s) |  
[2024-03-27 23:33:21] [world] The Player <Feathery> has picked 10 of ENDER_STONE at X= 1056, Y= 24, Z= 687 that had [] enchantment(s) |  
[2024-03-27 23:33:21] [world] The Player <Feathery> has picked 1 of POWERED_RAIL at X= 1056, Y= 24, Z= 688 that had [] enchantment(s) |  
[2024-03-27 23:33:44] [world] The Player <Char> has picked 1 of POWERED_RAIL at X= 1053, Y= 24, Z= 687 that had [] enchantment(s) |  
[2024-03-27 23:33:48] [world] The Player <GolemDaWanderer> has picked 1 of POWERED_RAIL at X= 1053, Y= 24, Z= 687 that had [] enchantment(s) |  
[2024-03-27 23:33:48] [world] The Player <GolemDaWanderer> has picked 9 of ENDER_STONE at X= 1053, Y= 24, Z= 687 that had [] enchantment(s) |  
[2024-03-27 23:33:58] [world] The Player <Feathery> has picked 1 of TORCH at X= 1063, Y= 25, Z= 680 that had [] enchantment(s) |  
[2024-03-27 23:35:34] [world] The Player <Feathery> has picked 3 of CARPET at X= 1055, Y= 24, Z= 693 that had [] enchantment(s) |  
[2024-03-27 23:35:36] [world] The Player <Feathery> has picked 4 of WOOD at X= 1054, Y= 17, Z= 690 that had [] enchantment(s) |  
[2024-03-27 23:35:36] [world] The Player <Feathery> has picked 7 of NETHER_BRICK at X= 1053, Y= 16, Z= 689 that had [] enchantment(s) |  
[2024-03-27 23:35:37] [world] The Player <Feathery> has picked 7 of CARPET at X= 1055, Y= 19, Z= 687 that had [] enchantment(s) |  
[2024-03-27 23:35:47] [world] The Player <Feathery> has picked 1 of IRON_FENCE at X= 1059, Y= 19, Z= 686 that had [] enchantment(s) |  
[2024-03-27 23:35:47] [world] The Player <Feathery> has picked 5 of WOOD at X= 1060, Y= 19, Z= 684 that had [] enchantment(s) |  
[2024-03-27 23:36:52] [world] The Player <Feathery> has picked 1 of NETHER_BRICK at X= 1052, Y= 28, Z= 708 that had [] enchantment(s) |  
[2024-03-27 23:36:53] [world] The Player <Feathery> has picked 1 of NETHER_BRICK at X= 1052, Y= 27, Z= 708 that had [] enchantment(s) |  
[2024-03-27 23:37:00] [world] The Player <NezukoChan> has picked 1 of DIRT at X= -544, Y= 64, Z= 317 that had [] enchantment(s) |  
[2024-03-27 23:37:07] [world] The Player <xcpc> has picked 1 of IRON_ORE at X= 1049, Y= 18, Z= 698 that had [] enchantment(s) |  
[2024-03-27 23:37:08] [world] The Player <xcpc> has picked 1 of IRON_ORE at X= 1049, Y= 18, Z= 699 that had [] enchantment(s) |  
[2024-03-27 23:37:17] [world] The Player <xcpc> has picked 1 of COBBLESTONE at X= 1047, Y= 21, Z= 706 that had [] enchantment(s) |  
[2024-03-27 23:37:20] [world] The Player <xcpc> has picked 1 of COBBLESTONE at X= 1048, Y= 21, Z= 706 that had [] enchantment(s) |  
[2024-03-27 23:37:21] [world] The Player <xcpc> has picked 1 of COBBLESTONE at X= 1047, Y= 22, Z= 705 that had [] enchantment(s) |  
[2024-03-27 23:37:23] [world] The Player <xcpc> has picked 1 of IRON_ORE at X= 1047, Y= 22, Z= 704 that had [] enchantment(s) |  
[2024-03-27 23:37:25] [world] The Player <xcpc> has picked 1 of IRON_ORE at X= 1047, Y= 22, Z= 703 that had [] enchantment(s) |  
[2024-03-27 23:37:26] [world] The Player <xcpc> has picked 1 of IRON_ORE at X= 1046, Y= 23, Z= 704 that had [] enchantment(s) |  
[2024-03-27 23:37:29] [world] The Player <xcpc> has picked 1 of IRON_ORE at X= 1046, Y= 22, Z= 704 that had [] enchantment(s) |  
[2024-03-27 23:38:14] [world] The Player <xcpc> has picked 1 of DIAMOND_LEGGINGS at X= 1061, Y= 20, Z= 666 that had [Protection 4, Unbreaking 3, Thorns 3] enchantment(s) |  
[2024-03-27 23:38:14] [world] The Player <xcpc> has picked 2 of BONE at X= 1061, Y= 20, Z= 666 that had [] enchantment(s) |  
[2024-03-27 23:38:14] [world] The Player <xcpc> has picked 1 of NETHER_STAR at X= 1061, Y= 20, Z= 666 that had [] enchantment(s) |  
[2024-03-27 23:38:14] [world] The Player <xcpc> has picked 1 of ROTTEN_FLESH at X= 1061, Y= 20, Z= 666 that had [] enchantment(s) |  
[2024-03-27 23:38:14] [world] The Player <xcpc> has picked 2 of STRING at X= 1061, Y= 20, Z= 666 that had [] enchantment(s) |  
[2024-03-27 23:38:14] [world] The Player <xcpc> has picked 2 of ROTTEN_FLESH at X= 1061, Y= 20, Z= 666 that had [] enchantment(s) |  
[2024-03-27 23:38:14] [world] The Player <xcpc> has picked 3 of ARROW at X= 1061, Y= 20, Z= 666 that had [] enchantment(s) |  
[2024-03-27 23:38:14] [world] The Player <xcpc> has picked 1 of ROTTEN_FLESH at X= 1061, Y= 20, Z= 666 that had [] enchantment(s) |  
[2024-03-27 23:38:14] [world] The Player <xcpc> has picked 2 of ARROW at X= 1061, Y= 20, Z= 666 that had [] enchantment(s) |  
[2024-03-27 23:38:14] [world] The Player <xcpc> has picked 1 of BONE at X= 1061, Y= 20, Z= 666 that had [] enchantment(s) |  
[2024-03-27 23:38:14] [world] The Player <xcpc> has picked 2 of ROTTEN_FLESH at X= 1061, Y= 20, Z= 666 that had [] enchantment(s) |  
[2024-03-27 23:38:14] [world] The Player <xcpc> has picked 1 of BONE at X= 1061, Y= 20, Z= 666 that had [] enchantment(s) |  
[2024-03-27 23:38:14] [world] The Player <xcpc> has picked 2 of ARROW at X= 1061, Y= 20, Z= 666 that had [] enchantment(s) |  
[2024-03-27 23:38:14] [world] The Player <xcpc> has picked 2 of BONE at X= 1061, Y= 20, Z= 666 that had [] enchantment(s) |  
[2024-03-27 23:38:14] [world] The Player <xcpc> has picked 1 of ARROW at X= 1061, Y= 20, Z= 666 that had [] enchantment(s) |  
[2024-03-27 23:38:14] [world] The Player <xcpc> has picked 1 of ARROW at X= 1061, Y= 20, Z= 666 that had [] enchantment(s) |  
[2024-03-27 23:38:14] [world] The Player <xcpc> has picked 2 of RAW_BEEF at X= 1061, Y= 20, Z= 666 that had [] enchantment(s) |  
[2024-03-27 23:38:14] [world] The Player <xcpc> has picked 1 of LEATHER at X= 1061, Y= 20, Z= 666 that had [] enchantment(s) |  
[2024-03-27 23:38:14] [world] The Player <xcpc> has picked 1 of LEATHER at X= 1061, Y= 20, Z= 666 that had [] enchantment(s) |  
[2024-03-27 23:38:14] [world] The Player <xcpc> has picked 2 of SULPHUR at X= 1061, Y= 20, Z= 666 that had [] enchantment(s) |  
[2024-03-27 23:38:14] [world] The Player <xcpc> has picked 1 of ARROW at X= 1061, Y= 20, Z= 666 that had [] enchantment(s) |  
[2024-03-27 23:38:14] [world] The Player <xcpc> has picked 2 of BONE at X= 1061, Y= 20, Z= 666 that had [] enchantment(s) |  
[2024-03-27 23:38:14] [world] The Player <xcpc> has picked 3 of RABBIT_HIDE at X= 1061, Y= 20, Z= 666 that had [] enchantment(s) |  
[2024-03-27 23:38:14] [world] The Player <xcpc> has picked 2 of RAW_BEEF at X= 1061, Y= 20, Z= 666 that had [] enchantment(s) |  
[2024-03-27 23:38:14] [world] The Player <xcpc> has picked 1 of LEATHER at X= 1061, Y= 20, Z= 666 that had [] enchantment(s) |  
[2024-03-27 23:38:14] [world] The Player <xcpc> has picked 3 of RAW_BEEF at X= 1061, Y= 20, Z= 666 that had [] enchantment(s) |  
[2024-03-27 23:38:14] [world] The Player <xcpc> has picked 1 of WOOL at X= 1061, Y= 20, Z= 666 that had [] enchantment(s) |  
[2024-03-27 23:38:14] [world] The Player <xcpc> has picked 1 of MUTTON at X= 1061, Y= 20, Z= 666 that had [] enchantment(s) |  
[2024-03-27 23:38:14] [world] The Player <xcpc> has picked 2 of ARROW at X= 1061, Y= 20, Z= 666 that had [] enchantment(s) |  
[2024-03-27 23:38:14] [world] The Player <xcpc> has picked 1 of BONE at X= 1061, Y= 20, Z= 666 that had [] enchantment(s) |  
[2024-03-27 23:38:14] [world] The Player <xcpc> has picked 15 of INK_SACK at X= 1061, Y= 20, Z= 666 that had [] enchantment(s) |  
[2024-03-27 23:38:14] [world] The Player <xcpc> has picked 1 of INK_SACK at X= 1061, Y= 20, Z= 666 that had [] enchantment(s) |  
[2024-03-27 23:38:14] [world] The Player <xcpc> has picked 1 of INK_SACK at X= 1061, Y= 20, Z= 666 that had [] enchantment(s) |  
[2024-03-27 23:38:14] [world] The Player <xcpc> has picked 2 of STRING at X= 1061, Y= 20, Z= 666 that had [] enchantment(s) |  
[2024-03-27 23:38:14] [world] The Player <xcpc> has picked 1 of INK_SACK at X= 1061, Y= 20, Z= 666 that had [] enchantment(s) |  
[2024-03-27 23:38:14] [world] The Player <xcpc> has picked 1 of INK_SACK at X= 1061, Y= 20, Z= 666 that had [] enchantment(s) |  
[2024-03-27 23:38:14] [world] The Player <xcpc> has picked 2 of RAW_BEEF at X= 1061, Y= 20, Z= 666 that had [] enchantment(s) |  
[2024-03-27 23:38:14] [world] The Player <xcpc> has picked 3 of RAW_CHICKEN at X= 1061, Y= 20, Z= 666 that had [] enchantment(s) |  
[2024-03-27 23:38:14] [world] The Player <xcpc> has picked 1 of RAW_CHICKEN at X= 1061, Y= 20, Z= 666 that had [] enchantment(s) |  
[2024-03-27 23:38:14] [world] The Player <xcpc> has picked 1 of DIRT at X= 1061, Y= 20, Z= 666 that had [] enchantment(s) |  
[2024-03-27 23:38:14] [world] The Player <xcpc> has picked 1 of RAW_CHICKEN at X= 1061, Y= 20, Z= 666 that had [] enchantment(s) |  
[2024-03-27 23:38:14] [world] The Player <xcpc> has picked 1 of MUTTON at X= 1061, Y= 20, Z= 666 that had [] enchantment(s) |  
[2024-03-27 23:38:14] [world] The Player <xcpc> has picked 1 of WOOL at X= 1061, Y= 20, Z= 666 that had [] enchantment(s) |  
[2024-03-27 23:38:14] [world] The Player <xcpc> has picked 5 of RABBIT at X= 1061, Y= 20, Z= 666 that had [] enchantment(s) |  
[2024-03-27 23:38:14] [world] The Player <xcpc> has picked 1 of PORK at X= 1061, Y= 20, Z= 666 that had [] enchantment(s) |  
[2024-03-27 23:38:14] [world] The Player <xcpc> has picked 1 of RABBIT at X= 1061, Y= 20, Z= 666 that had [] enchantment(s) |  
[2024-03-27 23:38:14] [world] The Player <xcpc> has picked 1 of RABBIT at X= 1061, Y= 20, Z= 666 that had [] enchantment(s) |  
[2024-03-27 23:38:14] [world] The Player <xcpc> has picked 1 of RABBIT_HIDE at X= 1061, Y= 20, Z= 666 that had [] enchantment(s) |  
[2024-03-27 23:38:14] [world] The Player <xcpc> has picked 1 of LEASH at X= 1061, Y= 20, Z= 666 that had [] enchantment(s) |  
[2024-03-27 23:38:14] [world] The Player <xcpc> has picked 1 of RABBIT at X= 1061, Y= 20, Z= 666 that had [] enchantment(s) |  
[2024-03-27 23:38:14] [world] The Player <xcpc> has picked 1 of RABBIT at X= 1061, Y= 20, Z= 666 that had [] enchantment(s) |  
[2024-03-27 23:38:14] [world] The Player <xcpc> has picked 1 of RABBIT_HIDE at X= 1061, Y= 20, Z= 666 that had [] enchantment(s) |  
[2024-03-27 23:38:14] [world] The Player <xcpc> has picked 1 of LEASH at X= 1061, Y= 20, Z= 666 that had [] enchantment(s) |  
[2024-03-27 23:38:14] [world] The Player <xcpc> has picked 1 of RABBIT_HIDE at X= 1061, Y= 20, Z= 666 that had [] enchantment(s) |  
[2024-03-27 23:38:14] [world] The Player <xcpc> has picked 1 of RABBIT_HIDE at X= 1061, Y= 20, Z= 666 that had [] enchantment(s) |  
[2024-03-27 23:38:14] [world] The Player <xcpc> has picked 1 of RABBIT at X= 1061, Y= 20, Z= 666 that had [] enchantment(s) |  
[2024-03-27 23:38:14] [world] The Player <xcpc> has picked 1 of RABBIT_HIDE at X= 1061, Y= 20, Z= 666 that had [] enchantment(s) |  
[2024-03-27 23:38:14] [world] The Player <xcpc> has picked 1 of RABBIT_HIDE at X= 1061, Y= 20, Z= 666 that had [] enchantment(s) |  
[2024-03-27 23:38:14] [world] The Player <xcpc> has picked 1 of RABBIT at X= 1061, Y= 20, Z= 666 that had [] enchantment(s) |  
[2024-03-27 23:38:14] [world] The Player <xcpc> has picked 1 of RABBIT_HIDE at X= 1061, Y= 20, Z= 666 that had [] enchantment(s) |  
[2024-03-27 23:38:14] [world] The Player <xcpc> has picked 1 of LEASH at X= 1061, Y= 20, Z= 666 that had [] enchantment(s) |  
[2024-03-27 23:38:14] [world] The Player <xcpc> has picked 1 of RABBIT at X= 1061, Y= 20, Z= 666 that had [] enchantment(s) |  
[2024-03-27 23:38:14] [world] The Player <xcpc> has picked 1 of RAW_CHICKEN at X= 1061, Y= 20, Z= 666 that had [] enchantment(s) |  
[2024-03-27 23:38:14] [world] The Player <xcpc> has picked 1 of RABBIT at X= 1061, Y= 20, Z= 666 that had [] enchantment(s) |  
[2024-03-27 23:38:14] [world] The Player <xcpc> has picked 1 of PORK at X= 1061, Y= 20, Z= 666 that had [] enchantment(s) |  
[2024-03-27 23:38:14] [world] The Player <xcpc> has picked 1 of MUTTON at X= 1061, Y= 20, Z= 666 that had [] enchantment(s) |  
[2024-03-27 23:38:14] [world] The Player <xcpc> has picked 1 of WOOL at X= 1061, Y= 20, Z= 666 that had [] enchantment(s) |  
[2024-03-27 23:38:14] [world] The Player <xcpc> has picked 1 of RABBIT at X= 1061, Y= 20, Z= 666 that had [] enchantment(s) |  
[2024-03-27 23:38:14] [world] The Player <xcpc> has picked 1 of RABBIT_HIDE at X= 1061, Y= 20, Z= 666 that had [] enchantment(s) |  
[2024-03-27 23:38:14] [world] The Player <xcpc> has picked 1 of WOOL at X= 1061, Y= 20, Z= 666 that had [] enchantment(s) |  
[2024-03-27 23:38:14] [world] The Player <xcpc> has picked 2 of MUTTON at X= 1061, Y= 20, Z= 666 that had [] enchantment(s) |  
[2024-03-27 23:38:14] [world] The Player <xcpc> has picked 1 of RABBIT at X= 1061, Y= 20, Z= 666 that had [] enchantment(s) |  
[2024-03-27 23:38:14] [world] The Player <xcpc> has picked 2 of MUTTON at X= 1061, Y= 20, Z= 666 that had [] enchantment(s) |  
[2024-03-27 23:38:14] [world] The Player <xcpc> has picked 1 of RAW_CHICKEN at X= 1061, Y= 20, Z= 666 that had [] enchantment(s) |  
[2024-03-27 23:38:14] [world] The Player <xcpc> has picked 1 of RABBIT at X= 1061, Y= 20, Z= 666 that had [] enchantment(s) |  
[2024-03-27 23:38:14] [world] The Player <xcpc> has picked 1 of RABBIT_HIDE at X= 1061, Y= 20, Z= 666 that had [] enchantment(s) |  
[2024-03-27 23:38:14] [world] The Player <xcpc> has picked 1 of RABBIT at X= 1061, Y= 20, Z= 666 that had [] enchantment(s) |  
[2024-03-27 23:38:14] [world] The Player <xcpc> has picked 1 of RABBIT_HIDE at X= 1061, Y= 20, Z= 666 that had [] enchantment(s) |  
[2024-03-27 23:38:14] [world] The Player <xcpc> has picked 2 of RAW_BEEF at X= 1061, Y= 20, Z= 666 that had [] enchantment(s) |  
[2024-03-27 23:38:14] [world] The Player <xcpc> has picked 2 of ROTTEN_FLESH at X= 1061, Y= 20, Z= 666 that had [] enchantment(s) |  
[2024-03-27 23:38:14] [world] The Player <xcpc> has picked 1 of SULPHUR at X= 1061, Y= 20, Z= 666 that had [] enchantment(s) |  
[2024-03-27 23:38:14] [world] The Player <xcpc> has picked 3 of PORK at X= 1061, Y= 20, Z= 666 that had [] enchantment(s) |  
[2024-03-27 23:38:14] [world] The Player <xcpc> has picked 2 of BONE at X= 1061, Y= 20, Z= 666 that had [] enchantment(s) |  
[2024-03-27 23:38:14] [world] The Player <xcpc> has picked 1 of MUTTON at X= 1061, Y= 20, Z= 666 that had [] enchantment(s) |  
[2024-03-27 23:38:14] [world] The Player <xcpc> has picked 1 of WOOL at X= 1061, Y= 20, Z= 666 that had [] enchantment(s) |  
[2024-03-27 23:38:14] [world] The Player <xcpc> has picked 1 of MUTTON at X= 1061, Y= 20, Z= 666 that had [] enchantment(s) |  
[2024-03-27 23:38:14] [world] The Player <xcpc> has picked 2 of SULPHUR at X= 1061, Y= 20, Z= 666 that had [] enchantment(s) |  
[2024-03-27 23:38:14] [world] The Player <xcpc> has picked 1 of NETHER_STAR at X= 1061, Y= 20, Z= 666 that had [] enchantment(s) |  
[2024-03-27 23:38:14] [world] The Player <xcpc> has picked 1 of BONE at X= 1061, Y= 20, Z= 666 that had [] enchantment(s) |  
[2024-03-27 23:38:14] [world] The Player <xcpc> has picked 2 of RAW_BEEF at X= 1061, Y= 20, Z= 666 that had [] enchantment(s) |  
[2024-03-27 23:38:14] [world] The Player <xcpc> has picked 2 of SULPHUR at X= 1061, Y= 20, Z= 666 that had [] enchantment(s) |  
[2024-03-27 23:38:14] [world] The Player <NezukoChan> has picked 5 of FEATHER at X= 1061, Y= 20, Z= 666 that had [] enchantment(s) |  
[2024-03-27 23:38:14] [world] The Player <NezukoChan> has picked 2 of FEATHER at X= 1061, Y= 20, Z= 666 that had [] enchantment(s) |  
[2024-03-27 23:38:14] [world] The Player <Char> has picked 1 of WOOL at X= 1061, Y= 20, Z= 666 that had [] enchantment(s) |  
[2024-03-27 23:38:14] [world] The Player <Char> has picked 1 of WOOL at X= 1061, Y= 20, Z= 666 that had [] enchantment(s) |  
[2024-03-27 23:38:15] [world] The Player <Tester> has picked 2 of LEATHER at X= 1061, Y= 20, Z= 666 that had [] enchantment(s) |  
[2024-03-27 23:38:15] [world] The Player <Tester> has picked 3 of RAW_BEEF at X= 1061, Y= 20, Z= 666 that had [] enchantment(s) |  
[2024-03-27 23:38:15] [world] The Player <Tester> has picked 3 of RAW_BEEF at X= 1061, Y= 20, Z= 666 that had [] enchantment(s) |  
[2024-03-27 23:38:16] [world] The Player <GolemDaWanderer> has picked 3 of COOKED_BEEF at X= 1063, Y= 20, Z= 666 that had [] enchantment(s) |  
[2024-03-27 23:38:17] [world] The Player <GolemDaWanderer> has picked 1 of INK_SACK at X= 1061, Y= 20, Z= 668 that had [] enchantment(s) |  
[2024-03-27 23:38:17] [world] The Player <GolemDaWanderer> has picked 3 of SULPHUR at X= 1061, Y= 20, Z= 668 that had [] enchantment(s) |  
[2024-03-27 23:38:20] [world] The Player <Tester> has picked 3 of LEATHER at X= 1061, Y= 20, Z= 668 that had [] enchantment(s) |  
[2024-03-27 23:38:20] [world] The Player <Tester> has picked 1 of RAW_BEEF at X= 1061, Y= 20, Z= 669 that had [] enchantment(s) |  
[2024-03-27 23:38:20] [world] The Player <Tester> has picked 18 of INK_SACK at X= 1061, Y= 20, Z= 668 that had [] enchantment(s) |  
[2024-03-27 23:38:38] [world] The Player <GolemDaWanderer> has picked 1 of INK_SACK at X= -572, Y= 70, Z= 321 that had [] enchantment(s) |  
[2024-03-27 23:38:51] [world] The Player <GolemDaWanderer> has picked 1 of INK_SACK at X= -573, Y= 69, Z= 326 that had [] enchantment(s) |  
[2024-03-27 23:38:59] [world_the_end] The Player <GolemDaWanderer> has picked 1 of INK_SACK at X= 100, Y= 49, Z= 0 that had [] enchantment(s) |  
[2024-03-27 23:41:06] [world] The Player <GolemDaWanderer> has picked 3 of CACTUS at X= -537, Y= 75, Z= 210 that had [] enchantment(s) |  
[2024-03-27 23:41:41] [world] The Player <GolemDaWanderer> has picked 3 of CACTUS at X= -560, Y= 72, Z= 136 that had [] enchantment(s) |  
[2024-03-27 23:41:43] [world] The Player <GolemDaWanderer> has picked 3 of CACTUS at X= -561, Y= 72, Z= 132 that had [] enchantment(s) |  
[2024-03-27 23:41:46] [world] The Player <GolemDaWanderer> has picked 3 of CACTUS at X= -557, Y= 72, Z= 130 that had [] enchantment(s) |  
[2024-03-27 23:41:54] [world] The Player <GolemDaWanderer> has picked 3 of CACTUS at X= -547, Y= 73, Z= 114 that had [] enchantment(s) |  
[2024-03-27 23:42:57] [world] The Player <GolemDaWanderer> has picked 1 of DIRT at X= -500, Y= 54, Z= 393 that had [] enchantment(s) |  
[2024-03-27 23:42:58] [world] The Player <GolemDaWanderer> has picked 1 of DIRT at X= -500, Y= 53, Z= 393 that had [] enchantment(s) |  
[2024-03-27 23:42:59] [world] The Player <GolemDaWanderer> has picked 1 of DIRT at X= -500, Y= 52, Z= 393 that had [] enchantment(s) |  
[2024-03-27 23:43:08] [world] The Player <GolemDaWanderer> has picked 7 of DIRT at X= -500, Y= 53, Z= 394 that had [] enchantment(s) |  
[2024-03-27 23:43:29] [world] The Player <GolemDaWanderer> has picked 1 of SAND at X= -499, Y= 57, Z= 386 that had [] enchantment(s) |  
[2024-03-27 23:43:30] [world] The Player <GolemDaWanderer> has picked 1 of SAND at X= -499, Y= 56, Z= 386 that had [] enchantment(s) |  
[2024-03-27 23:43:31] [world] The Player <GolemDaWanderer> has picked 1 of SAND at X= -499, Y= 55, Z= 386 that had [] enchantment(s) |  
[2024-03-27 23:43:31] [world] The Player <GolemDaWanderer> has picked 1 of SAND at X= -499, Y= 54, Z= 386 that had [] enchantment(s) |  
