[2024-03-20 19:10:05] [world] The Player <NezukoChan> has picked 1 of WOOL at X= -10241, Y= 64, Z= 4090 that had [] enchantment(s) |  
[2024-03-20 21:28:20] [world] The Player <A_Random_Person> has picked 1 of WOOL at X= -1399, Y= 67, Z= -224 that had [] enchantment(s) |  
[2024-03-20 21:28:29] [world] The Player <A_Random_Person> has picked 1 of COOKED_CHICKEN at X= -1389, Y= 67, Z= -235 that had [] enchantment(s) |  
[2024-03-20 21:28:29] [world] The Player <A_Random_Person> has picked 1 of SEEDS at X= -1390, Y= 67, Z= -236 that had [] enchantment(s) |  
[2024-03-20 21:28:29] [world] The Player <A_Random_Person> has picked 5 of FEATHER at X= -1390, Y= 67, Z= -236 that had [] enchantment(s) |  
[2024-03-20 21:28:29] [world] The Player <astronomy> has picked 1 of DIRT at X= 1800, Y= 38, Z= 297 that had [] enchantment(s) |  
[2024-03-20 21:28:33] [world] The Player <hexa> has picked 1 of TRAP_DOOR at X= -2527, Y= 69, Z= 582 that had [] enchantment(s) |  
[2024-03-20 21:28:34] [world] The Player <hexa> has picked 1 of TRAP_DOOR at X= -2528, Y= 70, Z= 581 that had [] enchantment(s) |  
[2024-03-20 21:28:38] [world] The Player <hexa> has picked 43 of LOG at X= -2527, Y= 67, Z= 582 that had [] enchantment(s) |  
[2024-03-20 21:28:39] [world] The Player <A_Random_Person> has picked 2 of RABBIT_HIDE at X= -1356, Y= 66, Z= -227 that had [] enchantment(s) |  
[2024-03-20 21:28:39] [world] The Player <hexa> has picked 2 of COBBLESTONE at X= -2529, Y= 67, Z= 582 that had [] enchantment(s) |  
[2024-03-20 21:28:39] [world] The Player <hexa> has picked 1 of TRAP_DOOR at X= -2530, Y= 68, Z= 584 that had [] enchantment(s) |  
[2024-03-20 21:28:58] [world] The Player <A_Random_Person> has picked 2 of GRILLED_PORK at X= -1305, Y= 69, Z= -236 that had [] enchantment(s) |  
[2024-03-20 21:28:58] [world] The Player <hexa> has picked 1 of WOOD at X= -2526, Y= 68, Z= 583 that had [] enchantment(s) |  
[2024-03-20 21:29:15] [world] The Player <Mudkips_Rule> has picked 1 of COOKED_CHICKEN at X= -1142, Y= 69, Z= -432 that had [] enchantment(s) |  
[2024-03-20 21:29:20] [world] The Player <Mudkips_Rule> has picked 3 of FEATHER at X= -1142, Y= 69, Z= -433 that had [] enchantment(s) |  
[2024-03-20 21:30:08] [world] The Player <hexa> has picked 1 of TRAP_DOOR at X= -2528, Y= 72, Z= 583 that had [] enchantment(s) |  
[2024-03-20 21:30:11] [world] The Player <A_Random_Person> has picked 6 of GRILLED_PORK at X= -1312, Y= 72, Z= -193 that had [] enchantment(s) |  
[2024-03-20 21:30:25] [world] The Player <A_Random_Person> has picked 2 of DIRT at X= -1314, Y= 70, Z= -208 that had [] enchantment(s) |  
[2024-03-20 21:30:26] [world] The Player <A_Random_Person> has picked 4 of DIRT at X= -1314, Y= 66, Z= -207 that had [] enchantment(s) |  
[2024-03-20 21:30:30] [world] The Player <A_Random_Person> has picked 5 of COBBLESTONE at X= -1314, Y= 61, Z= -207 that had [] enchantment(s) |  
[2024-03-20 21:30:35] [world] The Player <A_Random_Person> has picked 1 of COBBLESTONE at X= -1314, Y= 60, Z= -207 that had [] enchantment(s) |  
[2024-03-20 21:30:40] [world] The Player <A_Random_Person> has picked 5 of STONE at X= -1314, Y= 55, Z= -207 that had [] enchantment(s) |  
[2024-03-20 21:30:42] [world] The Player <A_Random_Person> has picked 4 of STONE at X= -1314, Y= 51, Z= -207 that had [] enchantment(s) |  
[2024-03-20 21:30:58] [world] The Player <A_Random_Person> has picked 7 of STONE at X= -1314, Y= 44, Z= -207 that had [] enchantment(s) |  
[2024-03-20 21:31:00] [world] The Player <A_Random_Person> has picked 1 of STONE at X= -1314, Y= 43, Z= -207 that had [] enchantment(s) |  
[2024-03-20 21:31:01] [world] The Player <hexa> has picked 1 of TRAP_DOOR at X= -2527, Y= 67, Z= 583 that had [] enchantment(s) |  
[2024-03-20 21:31:03] [world] The Player <A_Random_Person> has picked 1 of STONE at X= -1314, Y= 42, Z= -207 that had [] enchantment(s) |  
[2024-03-20 21:31:03] [world] The Player <A_Random_Person> has picked 1 of COAL_ORE at X= -1314, Y= 41, Z= -207 that had [] enchantment(s) |  
[2024-03-20 21:31:06] [world] The Player <A_Random_Person> has picked 1 of COAL_ORE at X= -1314, Y= 11, Z= -208 that had [] enchantment(s) |  
[2024-03-20 21:31:10] [world] The Player <A_Random_Person> has picked 2 of STONE at X= -1314, Y= 11, Z= -203 that had [] enchantment(s) |  
[2024-03-20 21:31:22] [world] The Player <A_Random_Person> has picked 1 of STONE at X= -1313, Y= 12, Z= -203 that had [] enchantment(s) |  
[2024-03-20 21:31:30] [world] The Player <hexa> has picked 1 of DIRT at X= -2528, Y= 66, Z= 583 that had [] enchantment(s) |  
[2024-03-20 21:31:36] [world] The Player <A_Random_Person> has picked 2 of COBBLESTONE at X= -1304, Y= 11, Z= -200 that had [] enchantment(s) |  
[2024-03-20 21:31:43] [world] The Player <astronomy> has picked 2 of STONE at X= 1803, Y= 38, Z= 299 that had [] enchantment(s) |  
[2024-03-20 21:31:45] [world] The Player <astronomy> has picked 2 of STONE at X= 1802, Y= 38, Z= 298 that had [] enchantment(s) |  
[2024-03-20 21:31:45] [world] The Player <astronomy> has picked 1 of STONE at X= 1801, Y= 38, Z= 299 that had [] enchantment(s) |  
[2024-03-20 21:31:46] [world] The Player <astronomy> has picked 1 of COAL at X= 1801, Y= 38, Z= 298 that had [] enchantment(s) |  
[2024-03-20 21:31:47] [world] The Player <astronomy> has picked 2 of STONE at X= 1800, Y= 38, Z= 298 that had [] enchantment(s) |  
[2024-03-20 21:31:48] [world] The Player <astronomy> has picked 1 of STONE at X= 1799, Y= 38, Z= 299 that had [] enchantment(s) |  
[2024-03-20 21:31:49] [world] The Player <astronomy> has picked 1 of COBBLESTONE at X= 1800, Y= 38, Z= 298 that had [] enchantment(s) |  
[2024-03-20 21:31:52] [world] The Player <astronomy> has picked 2 of COBBLESTONE at X= 1801, Y= 37, Z= 299 that had [] enchantment(s) |  
[2024-03-20 21:31:52] [world] The Player <astronomy> has picked 1 of COBBLESTONE at X= 1803, Y= 37, Z= 299 that had [] enchantment(s) |  
[2024-03-20 21:32:07] [world] The Player <A_Random_Person> has picked 1 of COBBLESTONE at X= -1303, Y= 12, Z= -200 that had [] enchantment(s) |  
[2024-03-20 21:32:07] [world] The Player <A_Random_Person> has picked 1 of COBBLESTONE at X= -1304, Y= 11, Z= -201 that had [] enchantment(s) |  
[2024-03-20 21:32:12] [world] The Player <A_Random_Person> has picked 1 of COBBLESTONE at X= -1302, Y= 11, Z= -200 that had [] enchantment(s) |  
[2024-03-20 21:32:13] [world] The Player <A_Random_Person> has picked 1 of COBBLESTONE at X= -1302, Y= 12, Z= -199 that had [] enchantment(s) |  
[2024-03-20 21:32:27] [world] The Player <hexa> has picked 1 of LOG at X= -2529, Y= 74, Z= 580 that had [] enchantment(s) |  
[2024-03-20 21:32:46] [world] The Player <A_Random_Person> has picked 1 of IRON_ORE at X= -1301, Y= 13, Z= -199 that had [] enchantment(s) |  
[2024-03-20 21:32:47] [world] The Player <A_Random_Person> has picked 1 of IRON_ORE at X= -1302, Y= 12, Z= -199 that had [] enchantment(s) |  
[2024-03-20 21:32:49] [world] The Player <hexa> has picked 1 of LOG at X= -2532, Y= 73, Z= 585 that had [] enchantment(s) |  
[2024-03-20 21:32:55] [world] The Player <A_Random_Person> has picked 1 of IRON_ORE at X= -1301, Y= 11, Z= -199 that had [] enchantment(s) |  
[2024-03-20 21:32:56] [world] The Player <A_Random_Person> has picked 1 of IRON_ORE at X= -1302, Y= 11, Z= -199 that had [] enchantment(s) |  
[2024-03-20 21:33:01] [world] The Player <hexa> has picked 1 of LOG at X= -2525, Y= 73, Z= 581 that had [] enchantment(s) |  
[2024-03-20 21:33:07] [world] The Player <Mudkips_Rule> has picked 2 of SULPHUR at X= -1343, Y= 67, Z= -247 that had [] enchantment(s) |  
[2024-03-20 21:33:09] [world] The Player <hexa> has picked 1 of LOG at X= -2527, Y= 74, Z= 587 that had [] enchantment(s) |  
[2024-03-20 21:33:10] [world] The Player <A_Random_Person> has picked 3 of COAL at X= -1302, Y= 10, Z= -199 that had [] enchantment(s) |  
[2024-03-20 21:33:10] [world] The Player <A_Random_Person> has picked 1 of COAL at X= -1302, Y= 10, Z= -199 that had [] enchantment(s) |  
[2024-03-20 21:33:12] [world] The Player <A_Random_Person> has picked 1 of COAL at X= -1302, Y= 9, Z= -199 that had [] enchantment(s) |  
[2024-03-20 21:33:12] [world] The Player <A_Random_Person> has picked 1 of COAL at X= -1302, Y= 9, Z= -199 that had [] enchantment(s) |  
[2024-03-20 21:33:12] [world] The Player <A_Random_Person> has picked 1 of COAL at X= -1302, Y= 9, Z= -199 that had [] enchantment(s) |  
[2024-03-20 21:33:12] [world] The Player <A_Random_Person> has picked 1 of COAL at X= -1302, Y= 9, Z= -199 that had [] enchantment(s) |  
[2024-03-20 21:33:14] [world] The Player <hexa> has picked 1 of LOG at X= -2530, Y= 72, Z= 585 that had [] enchantment(s) |  
[2024-03-20 21:33:16] [world] The Player <Mudkips_Rule> has picked 1 of STRING at X= -1347, Y= 67, Z= -247 that had [] enchantment(s) |  
[2024-03-20 21:33:18] [world] The Player <hexa> has picked 1 of LOG at X= -2530, Y= 73, Z= 585 that had [] enchantment(s) |  
[2024-03-20 21:34:05] [world] The Player <A_Random_Person> has picked 1 of COBBLESTONE at X= -1302, Y= 9, Z= -199 that had [] enchantment(s) |  
[2024-03-20 21:34:06] [world] The Player <A_Random_Person> has picked 5 of COAL at X= -1303, Y= 10, Z= -199 that had [] enchantment(s) |  
[2024-03-20 21:34:06] [world] The Player <A_Random_Person> has picked 1 of COAL at X= -1303, Y= 10, Z= -199 that had [] enchantment(s) |  
[2024-03-20 21:34:07] [world] The Player <A_Random_Person> has picked 6 of COAL at X= -1303, Y= 9, Z= -199 that had [] enchantment(s) |  
[2024-03-20 21:34:09] [world] The Player <A_Random_Person> has picked 1 of COAL at X= -1303, Y= 8, Z= -199 that had [] enchantment(s) |  
[2024-03-20 21:34:09] [world] The Player <A_Random_Person> has picked 3 of COAL at X= -1303, Y= 9, Z= -198 that had [] enchantment(s) |  
[2024-03-20 21:34:09] [world] The Player <A_Random_Person> has picked 1 of COAL at X= -1303, Y= 9, Z= -198 that had [] enchantment(s) |  
[2024-03-20 21:34:10] [world] The Player <A_Random_Person> has picked 1 of COAL at X= -1304, Y= 9, Z= -199 that had [] enchantment(s) |  
[2024-03-20 21:34:11] [world] The Player <A_Random_Person> has picked 3 of COAL at X= -1303, Y= 9, Z= -200 that had [] enchantment(s) |  
[2024-03-20 21:34:13] [world] The Player <NezukoChan> has picked 1 of GLASS at X= 1804, Y= 39, Z= 286 that had [Protection 4, Sharpness 5, Efficiency 5, Power 5, Silk Touch 1, Unbreaking 3, Knockback 2, Infinite 1, Looting 3, Lure 3] enchantment(s) | Useless Glass
[2024-03-20 21:34:17] [world] The Player <A_Random_Person> has picked 3 of COAL at X= -1303, Y= 8, Z= -199 that had [] enchantment(s) |  
[2024-03-20 21:34:21] [world] The Player <A_Random_Person> has picked 1 of COAL at X= -1303, Y= 9, Z= -199 that had [] enchantment(s) |  
[2024-03-20 21:34:22] [world] The Player <A_Random_Person> has picked 1 of COAL at X= -1302, Y= 8, Z= -198 that had [] enchantment(s) |  
[2024-03-20 21:34:23] [world] The Player <A_Random_Person> has picked 2 of COAL at X= -1301, Y= 8, Z= -198 that had [] enchantment(s) |  
[2024-03-20 21:34:27] [world] The Player <A_Random_Person> has picked 1 of COBBLESTONE at X= -1303, Y= 8, Z= -198 that had [] enchantment(s) |  
[2024-03-20 21:34:28] [world] The Player <A_Random_Person> has picked 2 of COBBLESTONE at X= -1303, Y= 8, Z= -197 that had [] enchantment(s) |  
[2024-03-20 21:34:28] [world] The Player <A_Random_Person> has picked 1 of COBBLESTONE at X= -1303, Y= 8, Z= -196 that had [] enchantment(s) |  
[2024-03-20 21:34:29] [world] The Player <A_Random_Person> has picked 1 of COBBLESTONE at X= -1303, Y= 8, Z= -196 that had [] enchantment(s) |  
[2024-03-20 21:34:32] [world] The Player <A_Random_Person> has picked 4 of COAL at X= -1301, Y= 9, Z= -199 that had [] enchantment(s) |  
[2024-03-20 21:34:44] [world] The Player <A_Random_Person> has picked 1 of COBBLESTONE at X= -1302, Y= 9, Z= -197 that had [] enchantment(s) |  
[2024-03-20 21:34:47] [world] The Player <astronomy> has picked 1 of STONE at X= 1801, Y= 39, Z= 296 that had [] enchantment(s) |  
[2024-03-20 21:34:47] [world] The Player <astronomy> has picked 2 of COBBLESTONE at X= 1801, Y= 38, Z= 295 that had [] enchantment(s) |  
[2024-03-20 21:34:48] [world] The Player <NezukoChan> has picked 1 of COBBLESTONE at X= 1801, Y= 38, Z= 294 that had [] enchantment(s) |  
[2024-03-20 21:34:50] [world] The Player <NezukoChan> has picked 1 of COBBLESTONE at X= 1801, Y= 38, Z= 293 that had [] enchantment(s) |  
[2024-03-20 21:34:53] [world] The Player <astronomy> has picked 7 of COBBLESTONE at X= 1801, Y= 38, Z= 295 that had [] enchantment(s) |  
[2024-03-20 21:34:54] [world] The Player <astronomy> has picked 2 of STONE at X= 1802, Y= 38, Z= 297 that had [] enchantment(s) |  
[2024-03-20 21:34:54] [world] The Player <astronomy> has picked 1 of STONE at X= 1801, Y= 39, Z= 297 that had [] enchantment(s) |  
[2024-03-20 21:34:55] [world] The Player <astronomy> has picked 1 of STONE at X= 1802, Y= 38, Z= 297 that had [] enchantment(s) |  
[2024-03-20 21:35:00] [world] The Player <astronomy> has picked 1 of STONE at X= 1800, Y= 38, Z= 297 that had [] enchantment(s) |  
[2024-03-20 21:35:00] [world] The Player <astronomy> has picked 1 of STONE at X= 1800, Y= 39, Z= 298 that had [] enchantment(s) |  
[2024-03-20 21:35:01] [world] The Player <astronomy> has picked 2 of COBBLESTONE at X= 1801, Y= 38, Z= 296 that had [] enchantment(s) |  
[2024-03-20 21:35:02] [world] The Player <astronomy> has picked 2 of COBBLESTONE at X= 1800, Y= 38, Z= 295 that had [] enchantment(s) |  
[2024-03-20 21:35:03] [world] The Player <astronomy> has picked 1 of SMOOTH_BRICK at X= 1800, Y= 39, Z= 292 that had [] enchantment(s) |  
[2024-03-20 21:35:06] [world] The Player <astronomy> has picked 1 of COBBLESTONE at X= 1803, Y= 38, Z= 294 that had [] enchantment(s) |  
[2024-03-20 21:35:07] [world] The Player <A_Random_Person> has picked 1 of COBBLESTONE at X= -1303, Y= 8, Z= -196 that had [] enchantment(s) |  
[2024-03-20 21:35:08] [world] The Player <astronomy> has picked 1 of COBBLESTONE at X= 1802, Y= 38, Z= 295 that had [] enchantment(s) |  
[2024-03-20 21:35:11] [world] The Player <A_Random_Person> has picked 3 of COAL at X= -1301, Y= 7, Z= -198 that had [] enchantment(s) |  
[2024-03-20 21:35:11] [world] The Player <A_Random_Person> has picked 1 of COAL at X= -1301, Y= 7, Z= -198 that had [] enchantment(s) |  
[2024-03-20 21:35:11] [world] The Player <A_Random_Person> has picked 1 of COBBLESTONE at X= -1301, Y= 9, Z= -197 that had [] enchantment(s) |  
[2024-03-20 21:35:12] [world] The Player <A_Random_Person> has picked 4 of COAL at X= -1301, Y= 8, Z= -197 that had [] enchantment(s) |  
[2024-03-20 21:35:12] [world] The Player <A_Random_Person> has picked 5 of COAL at X= -1300, Y= 8, Z= -198 that had [] enchantment(s) |  
[2024-03-20 21:35:12] [world] The Player <A_Random_Person> has picked 1 of COAL at X= -1300, Y= 8, Z= -198 that had [] enchantment(s) |  
[2024-03-20 21:35:13] [world] The Player <A_Random_Person> has picked 2 of COAL at X= -1301, Y= 8, Z= -197 that had [] enchantment(s) |  
[2024-03-20 21:35:13] [world] The Player <A_Random_Person> has picked 1 of COAL at X= -1300, Y= 7, Z= -198 that had [] enchantment(s) |  
[2024-03-20 21:35:13] [world] The Player <NezukoChan> has picked 1 of GLASS at X= 1805, Y= 38, Z= 289 that had [Protection 4, Sharpness 5, Efficiency 5, Power 5, Silk Touch 1, Unbreaking 3, Knockback 2, Infinite 1, Looting 3, Lure 3] enchantment(s) | Useless Glass
[2024-03-20 21:35:13] [world] The Player <astronomy> has picked 5 of COBBLESTONE at X= 1803, Y= 38, Z= 297 that had [] enchantment(s) |  
[2024-03-20 21:35:14] [world] The Player <A_Random_Person> has picked 7 of COAL at X= -1300, Y= 7, Z= -198 that had [] enchantment(s) |  
[2024-03-20 21:35:14] [world] The Player <astronomy> has picked 1 of SEEDS at X= 1803, Y= 38, Z= 298 that had [] enchantment(s) |  
[2024-03-20 21:35:15] [world] The Player <A_Random_Person> has picked 1 of COAL at X= -1300, Y= 7, Z= -198 that had [] enchantment(s) |  
[2024-03-20 21:35:21] [world] The Player <A_Random_Person> has picked 1 of COBBLESTONE at X= -1303, Y= 8, Z= -195 that had [] enchantment(s) |  
[2024-03-20 21:35:22] [world] The Player <A_Random_Person> has picked 1 of COBBLESTONE at X= -1303, Y= 8, Z= -194 that had [] enchantment(s) |  
[2024-03-20 21:35:22] [world] The Player <A_Random_Person> has picked 1 of COBBLESTONE at X= -1303, Y= 8, Z= -194 that had [] enchantment(s) |  
[2024-03-20 21:35:23] [world] The Player <A_Random_Person> has picked 1 of COBBLESTONE at X= -1303, Y= 8, Z= -194 that had [] enchantment(s) |  
[2024-03-20 21:35:24] [world] The Player <A_Random_Person> has picked 1 of COBBLESTONE at X= -1303, Y= 8, Z= -194 that had [] enchantment(s) |  
[2024-03-20 21:35:24] [world] The Player <A_Random_Person> has picked 1 of COBBLESTONE at X= -1303, Y= 8, Z= -192 that had [] enchantment(s) |  
[2024-03-20 21:35:27] [world] The Player <A_Random_Person> has picked 1 of COBBLESTONE at X= -1303, Y= 8, Z= -192 that had [] enchantment(s) |  
[2024-03-20 21:35:27] [world] The Player <A_Random_Person> has picked 1 of STONE at X= -1303, Y= 8, Z= -192 that had [] enchantment(s) |  
[2024-03-20 21:35:28] [world] The Player <A_Random_Person> has picked 2 of STONE at X= -1303, Y= 8, Z= -192 that had [] enchantment(s) |  
[2024-03-20 21:35:29] [world] The Player <A_Random_Person> has picked 1 of STONE at X= -1303, Y= 8, Z= -190 that had [] enchantment(s) |  
[2024-03-20 21:35:30] [world] The Player <A_Random_Person> has picked 1 of STONE at X= -1303, Y= 8, Z= -191 that had [] enchantment(s) |  
[2024-03-20 21:35:30] [world] The Player <astronomy> has picked 1 of COBBLESTONE at X= 1802, Y= 38, Z= 298 that had [] enchantment(s) |  
[2024-03-20 21:35:31] [world] The Player <A_Random_Person> has picked 1 of STONE at X= -1303, Y= 8, Z= -189 that had [] enchantment(s) |  
[2024-03-20 21:35:32] [world] The Player <A_Random_Person> has picked 2 of STONE at X= -1303, Y= 8, Z= -188 that had [] enchantment(s) |  
[2024-03-20 21:35:34] [world] The Player <A_Random_Person> has picked 2 of COBBLESTONE at X= -1303, Y= 8, Z= -187 that had [] enchantment(s) |  
[2024-03-20 21:35:35] [world] The Player <A_Random_Person> has picked 2 of COBBLESTONE at X= -1303, Y= 8, Z= -187 that had [] enchantment(s) |  
[2024-03-20 21:35:37] [world] The Player <A_Random_Person> has picked 1 of COBBLESTONE at X= -1303, Y= 8, Z= -186 that had [] enchantment(s) |  
[2024-03-20 21:35:38] [world] The Player <A_Random_Person> has picked 1 of COBBLESTONE at X= -1303, Y= 8, Z= -185 that had [] enchantment(s) |  
[2024-03-20 21:35:38] [world] The Player <A_Random_Person> has picked 1 of COBBLESTONE at X= -1303, Y= 8, Z= -185 that had [] enchantment(s) |  
[2024-03-20 21:35:39] [world] The Player <A_Random_Person> has picked 1 of COBBLESTONE at X= -1303, Y= 8, Z= -185 that had [] enchantment(s) |  
[2024-03-20 21:35:41] [world] The Player <A_Random_Person> has picked 2 of COBBLESTONE at X= -1303, Y= 8, Z= -183 that had [] enchantment(s) |  
[2024-03-20 21:35:42] [world] The Player <A_Random_Person> has picked 1 of COBBLESTONE at X= -1303, Y= 8, Z= -182 that had [] enchantment(s) |  
[2024-03-20 21:35:43] [world] The Player <A_Random_Person> has picked 1 of STONE at X= -1303, Y= 8, Z= -182 that had [] enchantment(s) |  
[2024-03-20 21:35:43] [world] The Player <A_Random_Person> has picked 1 of STONE at X= -1303, Y= 8, Z= -181 that had [] enchantment(s) |  
[2024-03-20 21:35:44] [world] The Player <A_Random_Person> has picked 2 of STONE at X= -1303, Y= 8, Z= -180 that had [] enchantment(s) |  
[2024-03-20 21:35:45] [world] The Player <A_Random_Person> has picked 1 of COBBLESTONE at X= -1303, Y= 8, Z= -180 that had [] enchantment(s) |  
[2024-03-20 21:35:46] [world] The Player <astronomy> has picked 1 of COBBLESTONE at X= 1803, Y= 40, Z= 296 that had [] enchantment(s) |  
[2024-03-20 21:35:47] [world] The Player <A_Random_Person> has picked 2 of COBBLESTONE at X= -1303, Y= 8, Z= -179 that had [] enchantment(s) |  
[2024-03-20 21:35:49] [world] The Player <A_Random_Person> has picked 3 of COBBLESTONE at X= -1303, Y= 8, Z= -177 that had [] enchantment(s) |  
[2024-03-20 21:35:49] [world] The Player <astronomy> has picked 5 of IRON_ORE at X= 1803, Y= 40, Z= 294 that had [] enchantment(s) |  
[2024-03-20 21:35:52] [world] The Player <astronomy> has picked 3 of IRON_ORE at X= 1803, Y= 39, Z= 294 that had [] enchantment(s) |  
[2024-03-20 21:35:53] [world] The Player <A_Random_Person> has picked 2 of COBBLESTONE at X= -1303, Y= 7, Z= -177 that had [] enchantment(s) |  
[2024-03-20 21:35:53] [world] The Player <A_Random_Person> has picked 1 of IRON_ORE at X= -1303, Y= 7, Z= -177 that had [] enchantment(s) |  
[2024-03-20 21:35:54] [world] The Player <astronomy> has picked 16 of COBBLESTONE at X= 1803, Y= 38, Z= 295 that had [] enchantment(s) |  
[2024-03-20 21:35:54] [world] The Player <A_Random_Person> has picked 1 of IRON_ORE at X= -1303, Y= 7, Z= -176 that had [] enchantment(s) |  
[2024-03-20 21:35:57] [world] The Player <A_Random_Person> has picked 1 of IRON_ORE at X= -1303, Y= 7, Z= -175 that had [] enchantment(s) |  
[2024-03-20 21:35:58] [world] The Player <A_Random_Person> has picked 2 of IRON_ORE at X= -1303, Y= 6, Z= -176 that had [] enchantment(s) |  
[2024-03-20 21:36:01] [world] The Player <A_Random_Person> has picked 3 of IRON_ORE at X= -1303, Y= 6, Z= -177 that had [] enchantment(s) |  
[2024-03-20 21:36:02] [world] The Player <A_Random_Person> has picked 1 of IRON_ORE at X= -1304, Y= 6, Z= -176 that had [] enchantment(s) |  
[2024-03-20 21:36:04] [world] The Player <A_Random_Person> has picked 1 of IRON_ORE at X= -1304, Y= 6, Z= -177 that had [] enchantment(s) |  
[2024-03-20 21:36:06] [world] The Player <A_Random_Person> has picked 1 of IRON_ORE at X= -1304, Y= 6, Z= -178 that had [] enchantment(s) |  
[2024-03-20 21:36:07] [world] The Player <A_Random_Person> has picked 1 of COBBLESTONE at X= -1304, Y= 6, Z= -177 that had [] enchantment(s) |  
[2024-03-20 21:36:09] [world] The Player <A_Random_Person> has picked 1 of COBBLESTONE at X= -1304, Y= 5, Z= -178 that had [] enchantment(s) |  
[2024-03-20 21:36:11] [world] The Player <astronomy> has picked 1 of STONE at X= 1801, Y= 38, Z= 298 that had [] enchantment(s) |  
[2024-03-20 21:36:13] [world] The Player <A_Random_Person> has picked 1 of COBBLESTONE at X= -1304, Y= 6, Z= -176 that had [] enchantment(s) |  
[2024-03-20 21:36:15] [world] The Player <A_Random_Person> has picked 1 of GOLD_ORE at X= -1304, Y= 4, Z= -178 that had [] enchantment(s) |  
[2024-03-20 21:36:16] [world] The Player <A_Random_Person> has picked 1 of COBBLESTONE at X= -1305, Y= 5, Z= -178 that had [] enchantment(s) |  
[2024-03-20 21:36:18] [world] The Player <A_Random_Person> has picked 1 of GOLD_ORE at X= -1305, Y= 4, Z= -178 that had [] enchantment(s) |  
[2024-03-20 21:36:18] [world] The Player <A_Random_Person> has picked 1 of COBBLESTONE at X= -1306, Y= 4, Z= -178 that had [] enchantment(s) |  
[2024-03-20 21:36:20] [world] The Player <A_Random_Person> has picked 1 of GOLD_ORE at X= -1305, Y= 4, Z= -178 that had [] enchantment(s) |  
[2024-03-20 21:36:20] [world] The Player <A_Random_Person> has picked 1 of COBBLESTONE at X= -1305, Y= 4, Z= -178 that had [] enchantment(s) |  
[2024-03-20 21:36:22] [world] The Player <A_Random_Person> has picked 1 of COBBLESTONE at X= -1305, Y= 4, Z= -178 that had [] enchantment(s) |  
[2024-03-20 21:36:22] [world] The Player <A_Random_Person> has picked 1 of COBBLESTONE at X= -1304, Y= 4, Z= -179 that had [] enchantment(s) |  
[2024-03-20 21:36:26] [world] The Player <A_Random_Person> has picked 2 of COBBLESTONE at X= -1305, Y= 4, Z= -178 that had [] enchantment(s) |  
[2024-03-20 21:36:30] [world] The Player <A_Random_Person> has picked 1 of COBBLESTONE at X= -1303, Y= 8, Z= -175 that had [] enchantment(s) |  
[2024-03-20 21:36:31] [world] The Player <A_Random_Person> has picked 1 of COBBLESTONE at X= -1303, Y= 8, Z= -175 that had [] enchantment(s) |  
[2024-03-20 21:36:47] [world] The Player <A_Random_Person> has picked 1 of COBBLESTONE at X= -1303, Y= 8, Z= -174 that had [] enchantment(s) |  
[2024-03-20 21:36:52] [world] The Player <A_Random_Person> has picked 1 of COBBLESTONE at X= -1303, Y= 8, Z= -173 that had [] enchantment(s) |  
[2024-03-20 21:36:53] [world] The Player <A_Random_Person> has picked 1 of COBBLESTONE at X= -1303, Y= 8, Z= -173 that had [] enchantment(s) |  
[2024-03-20 21:36:53] [world] The Player <Mudkips_Rule> has picked 1 of ENDER_CHEST at X= -1357, Y= 63, Z= -263 that had [] enchantment(s) |  
[2024-03-20 21:36:53] [world] The Player <A_Random_Person> has picked 1 of COBBLESTONE at X= -1303, Y= 8, Z= -172 that had [] enchantment(s) |  
[2024-03-20 21:36:54] [world] The Player <astronomy> has picked 5 of COBBLESTONE at X= 1800, Y= 38, Z= 293 that had [] enchantment(s) |  
[2024-03-20 21:36:54] [world] The Player <A_Random_Person> has picked 1 of COBBLESTONE at X= -1303, Y= 8, Z= -172 that had [] enchantment(s) |  
[2024-03-20 21:36:55] [world] The Player <A_Random_Person> has picked 1 of COBBLESTONE at X= -1303, Y= 8, Z= -171 that had [] enchantment(s) |  
[2024-03-20 21:36:57] [world] The Player <A_Random_Person> has picked 2 of COBBLESTONE at X= -1303, Y= 8, Z= -171 that had [] enchantment(s) |  
[2024-03-20 21:36:58] [world] The Player <A_Random_Person> has picked 1 of COBBLESTONE at X= -1303, Y= 8, Z= -171 that had [] enchantment(s) |  
[2024-03-20 21:36:59] [world] The Player <NezukoChan> has picked 1 of SEEDS at X= -10161, Y= 63, Z= 4110 that had [] enchantment(s) |  
[2024-03-20 21:37:00] [world] The Player <A_Random_Person> has picked 2 of COBBLESTONE at X= -1303, Y= 8, Z= -169 that had [] enchantment(s) |  
[2024-03-20 21:37:03] [world] The Player <NezukoChan> has picked 1 of WHEAT at X= -10160, Y= 63, Z= 4109 that had [] enchantment(s) |  
[2024-03-20 21:37:05] [world] The Player <NezukoChan> has picked 1 of SEEDS at X= -10160, Y= 63, Z= 4109 that had [] enchantment(s) |  
[2024-03-20 21:37:07] [world] The Player <A_Random_Person> has picked 6 of COBBLESTONE at X= -1303, Y= 8, Z= -166 that had [] enchantment(s) |  
[2024-03-20 21:37:07] [world] The Player <A_Random_Person> has picked 1 of COBBLESTONE at X= -1303, Y= 8, Z= -165 that had [] enchantment(s) |  
