[2024-03-17 22:33:36] [world] The Player <Heinrich_Himmler> has picked 1 of DIRT at X= -601, Y= 67, Z= 369 that had [] enchantment(s) |  
[2024-03-17 22:41:27] [world] The Player <bagelz> has picked 1 of COBBLESTONE at X= 1209, Y= 6, Z= 2453 that had [] enchantment(s) |  
[2024-03-17 22:41:28] [world] The Player <bagelz> has picked 1 of STONE at X= 1209, Y= 5, Z= 2453 that had [] enchantment(s) |  
[2024-03-17 22:41:28] [world] The Player <bagelz> has picked 1 of COBBLESTONE at X= 1210, Y= 6, Z= 2453 that had [] enchantment(s) |  
[2024-03-17 22:41:29] [world] The Player <bagelz> has picked 1 of STONE at X= 1210, Y= 5, Z= 2453 that had [] enchantment(s) |  
[2024-03-17 22:41:30] [world] The Player <bagelz> has picked 1 of COBBLESTONE at X= 1211, Y= 6, Z= 2453 that had [] enchantment(s) |  
[2024-03-17 22:41:31] [world] The Player <bagelz> has picked 1 of COBBLESTONE at X= 1210, Y= 5, Z= 2453 that had [] enchantment(s) |  
[2024-03-17 22:41:31] [world] The Player <bagelz> has picked 1 of COBBLESTONE at X= 1212, Y= 6, Z= 2453 that had [] enchantment(s) |  
[2024-03-17 22:41:32] [world] The Player <bagelz> has picked 1 of COBBLESTONE at X= 1212, Y= 5, Z= 2453 that had [] enchantment(s) |  
[2024-03-17 22:41:33] [world] The Player <bagelz> has picked 1 of COBBLESTONE at X= 1213, Y= 6, Z= 2453 that had [] enchantment(s) |  
[2024-03-17 22:41:33] [world] The Player <bagelz> has picked 1 of COBBLESTONE at X= 1213, Y= 5, Z= 2453 that had [] enchantment(s) |  
[2024-03-17 22:41:34] [world] The Player <bagelz> has picked 1 of STONE at X= 1214, Y= 6, Z= 2453 that had [] enchantment(s) |  
[2024-03-17 22:41:35] [world] The Player <bagelz> has picked 1 of COBBLESTONE at X= 1213, Y= 5, Z= 2453 that had [] enchantment(s) |  
[2024-03-17 22:41:35] [world] The Player <bagelz> has picked 1 of STONE at X= 1214, Y= 5, Z= 2453 that had [] enchantment(s) |  
[2024-03-17 22:41:36] [world] The Player <bagelz> has picked 1 of COBBLESTONE at X= 1215, Y= 5, Z= 2453 that had [] enchantment(s) |  
[2024-03-17 22:41:37] [world] The Player <bagelz> has picked 1 of STONE at X= 1215, Y= 5, Z= 2453 that had [] enchantment(s) |  
[2024-03-17 22:41:38] [world] The Player <bagelz> has picked 1 of COBBLESTONE at X= 1215, Y= 5, Z= 2453 that had [] enchantment(s) |  
[2024-03-17 22:41:38] [world] The Player <bagelz> has picked 1 of STONE at X= 1217, Y= 6, Z= 2453 that had [] enchantment(s) |  
[2024-03-17 22:41:39] [world] The Player <bagelz> has picked 1 of COBBLESTONE at X= 1217, Y= 5, Z= 2453 that had [] enchantment(s) |  
[2024-03-17 22:41:40] [world] The Player <bagelz> has picked 1 of COBBLESTONE at X= 1218, Y= 6, Z= 2453 that had [] enchantment(s) |  
[2024-03-17 22:41:40] [world] The Player <bagelz> has picked 1 of COBBLESTONE at X= 1218, Y= 5, Z= 2453 that had [] enchantment(s) |  
[2024-03-17 22:41:41] [world] The Player <bagelz> has picked 1 of COBBLESTONE at X= 1219, Y= 6, Z= 2453 that had [] enchantment(s) |  
[2024-03-17 22:41:42] [world] The Player <bagelz> has picked 1 of COBBLESTONE at X= 1218, Y= 5, Z= 2453 that had [] enchantment(s) |  
[2024-03-17 22:41:42] [world] The Player <bagelz> has picked 1 of COBBLESTONE at X= 1220, Y= 6, Z= 2453 that had [] enchantment(s) |  
[2024-03-17 22:41:43] [world] The Player <bagelz> has picked 1 of COBBLESTONE at X= 1220, Y= 5, Z= 2453 that had [] enchantment(s) |  
[2024-03-17 22:41:44] [world] The Player <bagelz> has picked 1 of COBBLESTONE at X= 1221, Y= 6, Z= 2453 that had [] enchantment(s) |  
[2024-03-17 22:41:45] [world] The Player <bagelz> has picked 1 of COBBLESTONE at X= 1221, Y= 5, Z= 2453 that had [] enchantment(s) |  
[2024-03-17 22:41:45] [world] The Player <bagelz> has picked 1 of COBBLESTONE at X= 1222, Y= 6, Z= 2453 that had [] enchantment(s) |  
[2024-03-17 22:41:46] [world] The Player <bagelz> has picked 1 of COBBLESTONE at X= 1222, Y= 5, Z= 2453 that had [] enchantment(s) |  
[2024-03-17 22:41:47] [world] The Player <bagelz> has picked 1 of COBBLESTONE at X= 1223, Y= 6, Z= 2453 that had [] enchantment(s) |  
[2024-03-17 22:41:47] [world] The Player <bagelz> has picked 1 of COBBLESTONE at X= 1223, Y= 5, Z= 2453 that had [] enchantment(s) |  
[2024-03-17 22:41:49] [world] The Player <bagelz> has picked 3 of REDSTONE at X= 1224, Y= 6, Z= 2453 that had [] enchantment(s) |  
[2024-03-17 22:41:49] [world] The Player <bagelz> has picked 1 of REDSTONE at X= 1224, Y= 6, Z= 2453 that had [] enchantment(s) |  
[2024-03-17 22:41:49] [world] The Player <bagelz> has picked 1 of REDSTONE at X= 1224, Y= 6, Z= 2453 that had [] enchantment(s) |  
[2024-03-17 22:41:49] [world] The Player <bagelz> has picked 1 of COBBLESTONE at X= 1224, Y= 5, Z= 2453 that had [] enchantment(s) |  
[2024-03-17 22:41:50] [world] The Player <bagelz> has picked 1 of COBBLESTONE at X= 1224, Y= 5, Z= 2453 that had [] enchantment(s) |  
[2024-03-17 22:41:51] [world] The Player <bagelz> has picked 1 of COBBLESTONE at X= 1225, Y= 5, Z= 2453 that had [] enchantment(s) |  
[2024-03-17 22:41:52] [world] The Player <bagelz> has picked 1 of COBBLESTONE at X= 1226, Y= 6, Z= 2453 that had [] enchantment(s) |  
[2024-03-17 22:41:52] [world] The Player <bagelz> has picked 1 of COBBLESTONE at X= 1225, Y= 5, Z= 2453 that had [] enchantment(s) |  
[2024-03-17 22:41:53] [world] The Player <bagelz> has picked 1 of COBBLESTONE at X= 1227, Y= 6, Z= 2453 that had [] enchantment(s) |  
[2024-03-17 22:41:54] [world] The Player <bagelz> has picked 1 of COBBLESTONE at X= 1227, Y= 5, Z= 2453 that had [] enchantment(s) |  
[2024-03-17 22:41:54] [world] The Player <bagelz> has picked 1 of COBBLESTONE at X= 1228, Y= 6, Z= 2453 that had [] enchantment(s) |  
[2024-03-17 22:41:55] [world] The Player <bagelz> has picked 1 of COBBLESTONE at X= 1228, Y= 5, Z= 2453 that had [] enchantment(s) |  
[2024-03-17 22:41:56] [world] The Player <bagelz> has picked 1 of COBBLESTONE at X= 1229, Y= 6, Z= 2453 that had [] enchantment(s) |  
[2024-03-17 22:41:56] [world] The Player <bagelz> has picked 1 of COBBLESTONE at X= 1229, Y= 5, Z= 2453 that had [] enchantment(s) |  
[2024-03-17 22:41:57] [world] The Player <bagelz> has picked 1 of COBBLESTONE at X= 1230, Y= 6, Z= 2453 that had [] enchantment(s) |  
[2024-03-17 22:41:58] [world] The Player <bagelz> has picked 1 of COBBLESTONE at X= 1230, Y= 5, Z= 2453 that had [] enchantment(s) |  
[2024-03-17 22:41:58] [world] The Player <bagelz> has picked 1 of COBBLESTONE at X= 1231, Y= 6, Z= 2453 that had [] enchantment(s) |  
[2024-03-17 22:41:59] [world] The Player <bagelz> has picked 1 of COBBLESTONE at X= 1230, Y= 5, Z= 2453 that had [] enchantment(s) |  
[2024-03-17 22:42:00] [world] The Player <bagelz> has picked 1 of COBBLESTONE at X= 1232, Y= 6, Z= 2453 that had [] enchantment(s) |  
[2024-03-17 22:42:01] [world] The Player <bagelz> has picked 1 of COBBLESTONE at X= 1231, Y= 5, Z= 2453 that had [] enchantment(s) |  
[2024-03-17 22:42:01] [world] The Player <bagelz> has picked 1 of COBBLESTONE at X= 1233, Y= 6, Z= 2453 that had [] enchantment(s) |  
[2024-03-17 22:42:02] [world] The Player <Tester> has picked 2 of COBBLESTONE at X= -10191, Y= 64, Z= 4121 that had [] enchantment(s) |  
[2024-03-17 22:42:03] [world] The Player <Tester> has picked 2 of COBBLESTONE at X= -10191, Y= 64, Z= 4122 that had [] enchantment(s) |  
[2024-03-17 22:42:04] [world] The Player <Tester> has picked 1 of DIRT at X= -10191, Y= 64, Z= 4124 that had [] enchantment(s) |  
[2024-03-17 22:42:06] [world] The Player <bagelz> has picked 1 of COBBLESTONE at X= 1233, Y= 5, Z= 2453 that had [] enchantment(s) |  
[2024-03-17 22:42:07] [world] The Player <bagelz> has picked 1 of COBBLESTONE at X= 1234, Y= 6, Z= 2453 that had [] enchantment(s) |  
[2024-03-17 22:42:08] [world] The Player <bagelz> has picked 1 of COBBLESTONE at X= 1234, Y= 5, Z= 2453 that had [] enchantment(s) |  
[2024-03-17 22:42:08] [world] The Player <bagelz> has picked 1 of COBBLESTONE at X= 1235, Y= 6, Z= 2453 that had [] enchantment(s) |  
[2024-03-17 22:42:09] [world] The Player <bagelz> has picked 1 of COBBLESTONE at X= 1235, Y= 5, Z= 2453 that had [] enchantment(s) |  
[2024-03-17 22:42:10] [world] The Player <bagelz> has picked 1 of COBBLESTONE at X= 1236, Y= 6, Z= 2453 that had [] enchantment(s) |  
[2024-03-17 22:42:11] [world] The Player <bagelz> has picked 1 of COBBLESTONE at X= 1236, Y= 5, Z= 2453 that had [] enchantment(s) |  
[2024-03-17 22:42:11] [world] The Player <bagelz> has picked 1 of COBBLESTONE at X= 1237, Y= 6, Z= 2453 that had [] enchantment(s) |  
[2024-03-17 22:42:12] [world] The Player <bagelz> has picked 1 of COBBLESTONE at X= 1236, Y= 5, Z= 2453 that had [] enchantment(s) |  
[2024-03-17 22:42:13] [world] The Player <bagelz> has picked 1 of COBBLESTONE at X= 1238, Y= 6, Z= 2453 that had [] enchantment(s) |  
[2024-03-17 22:42:14] [world] The Player <bagelz> has picked 1 of IRON_ORE at X= 1238, Y= 5, Z= 2453 that had [] enchantment(s) |  
[2024-03-17 22:42:14] [world] The Player <bagelz> has picked 1 of COBBLESTONE at X= 1239, Y= 6, Z= 2453 that had [] enchantment(s) |  
[2024-03-17 22:42:15] [world] The Player <bagelz> has picked 1 of COBBLESTONE at X= 1239, Y= 5, Z= 2453 that had [] enchantment(s) |  
[2024-03-17 22:42:16] [world] The Player <bagelz> has picked 1 of COBBLESTONE at X= 1240, Y= 6, Z= 2453 that had [] enchantment(s) |  
[2024-03-17 22:42:16] [world] The Player <bagelz> has picked 1 of COBBLESTONE at X= 1240, Y= 5, Z= 2453 that had [] enchantment(s) |  
[2024-03-17 22:42:17] [world] The Player <bagelz> has picked 1 of COBBLESTONE at X= 1241, Y= 6, Z= 2453 that had [] enchantment(s) |  
[2024-03-17 22:42:18] [world] The Player <bagelz> has picked 1 of COBBLESTONE at X= 1241, Y= 5, Z= 2453 that had [] enchantment(s) |  
[2024-03-17 22:42:19] [world] The Player <bagelz> has picked 1 of COBBLESTONE at X= 1242, Y= 6, Z= 2453 that had [] enchantment(s) |  
[2024-03-17 22:42:19] [world] The Player <bagelz> has picked 1 of COBBLESTONE at X= 1242, Y= 5, Z= 2453 that had [] enchantment(s) |  
[2024-03-17 22:42:20] [world] The Player <bagelz> has picked 1 of COBBLESTONE at X= 1243, Y= 6, Z= 2453 that had [] enchantment(s) |  
[2024-03-17 22:42:21] [world] The Player <bagelz> has picked 1 of STONE at X= 1243, Y= 5, Z= 2453 that had [] enchantment(s) |  
[2024-03-17 22:42:21] [world] The Player <bagelz> has picked 1 of STONE at X= 1243, Y= 5, Z= 2453 that had [] enchantment(s) |  
[2024-03-17 22:42:22] [world] The Player <bagelz> has picked 1 of STONE at X= 1243, Y= 5, Z= 2453 that had [] enchantment(s) |  
[2024-03-17 22:42:23] [world] The Player <bagelz> has picked 1 of COBBLESTONE at X= 1244, Y= 5, Z= 2453 that had [] enchantment(s) |  
[2024-03-17 22:42:24] [world] The Player <bagelz> has picked 1 of STONE at X= 1245, Y= 5, Z= 2453 that had [] enchantment(s) |  
[2024-03-17 22:42:26] [world] The Player <bagelz> has picked 4 of REDSTONE at X= 1246, Y= 6, Z= 2453 that had [] enchantment(s) |  
[2024-03-17 22:42:27] [world] The Player <bagelz> has picked 1 of COBBLESTONE at X= 1246, Y= 5, Z= 2453 that had [] enchantment(s) |  
[2024-03-17 22:42:28] [world] The Player <bagelz> has picked 1 of COBBLESTONE at X= 1247, Y= 6, Z= 2453 that had [] enchantment(s) |  
[2024-03-17 22:42:28] [world] The Player <bagelz> has picked 1 of COBBLESTONE at X= 1247, Y= 5, Z= 2453 that had [] enchantment(s) |  
[2024-03-17 22:42:29] [world] The Player <bagelz> has picked 1 of COBBLESTONE at X= 1248, Y= 6, Z= 2453 that had [] enchantment(s) |  
[2024-03-17 22:42:30] [world] The Player <bagelz> has picked 1 of COBBLESTONE at X= 1247, Y= 5, Z= 2453 that had [] enchantment(s) |  
[2024-03-17 22:42:31] [world] The Player <bagelz> has picked 1 of COBBLESTONE at X= 1249, Y= 6, Z= 2453 that had [] enchantment(s) |  
[2024-03-17 22:42:31] [world] The Player <bagelz> has picked 1 of COBBLESTONE at X= 1249, Y= 5, Z= 2453 that had [] enchantment(s) |  
[2024-03-17 22:42:33] [world] The Player <bagelz> has picked 2 of COBBLESTONE at X= 1249, Y= 5, Z= 2453 that had [] enchantment(s) |  
[2024-03-17 22:42:34] [world] The Player <bagelz> has picked 1 of DIRT at X= 1250, Y= 6, Z= 2453 that had [] enchantment(s) |  
[2024-03-17 22:42:35] [world] The Player <bagelz> has picked 1 of DIRT at X= 1251, Y= 5, Z= 2453 that had [] enchantment(s) |  
[2024-03-17 22:42:36] [world] The Player <bagelz> has picked 1 of DIRT at X= 1252, Y= 6, Z= 2453 that had [] enchantment(s) |  
[2024-03-17 22:42:37] [world] The Player <bagelz> has picked 1 of DIRT at X= 1252, Y= 5, Z= 2453 that had [] enchantment(s) |  
[2024-03-17 22:42:38] [world] The Player <bagelz> has picked 1 of COBBLESTONE at X= 1253, Y= 6, Z= 2453 that had [] enchantment(s) |  
[2024-03-17 22:42:39] [world] The Player <bagelz> has picked 1 of COBBLESTONE at X= 1253, Y= 5, Z= 2453 that had [] enchantment(s) |  
[2024-03-17 22:42:40] [world] The Player <bagelz> has picked 1 of COBBLESTONE at X= 1254, Y= 6, Z= 2453 that had [] enchantment(s) |  
[2024-03-17 22:42:40] [world] The Player <bagelz> has picked 1 of COBBLESTONE at X= 1254, Y= 5, Z= 2453 that had [] enchantment(s) |  
[2024-03-17 22:42:41] [world] The Player <bagelz> has picked 1 of COBBLESTONE at X= 1255, Y= 6, Z= 2453 that had [] enchantment(s) |  
[2024-03-17 22:42:42] [world] The Player <bagelz> has picked 1 of COBBLESTONE at X= 1255, Y= 5, Z= 2453 that had [] enchantment(s) |  
[2024-03-17 22:42:42] [world] The Player <bagelz> has picked 1 of COBBLESTONE at X= 1256, Y= 6, Z= 2453 that had [] enchantment(s) |  
[2024-03-17 22:42:43] [world] The Player <bagelz> has picked 1 of COBBLESTONE at X= 1256, Y= 5, Z= 2453 that had [] enchantment(s) |  
[2024-03-17 22:42:44] [world] The Player <bagelz> has picked 1 of COBBLESTONE at X= 1257, Y= 6, Z= 2453 that had [] enchantment(s) |  
[2024-03-17 22:42:45] [world] The Player <bagelz> has picked 1 of COBBLESTONE at X= 1257, Y= 5, Z= 2453 that had [] enchantment(s) |  
[2024-03-17 22:42:45] [world] The Player <bagelz> has picked 1 of COBBLESTONE at X= 1258, Y= 6, Z= 2453 that had [] enchantment(s) |  
[2024-03-17 22:42:46] [world] The Player <bagelz> has picked 1 of COBBLESTONE at X= 1258, Y= 5, Z= 2453 that had [] enchantment(s) |  
[2024-03-17 22:42:47] [world] The Player <bagelz> has picked 1 of COBBLESTONE at X= 1259, Y= 6, Z= 2453 that had [] enchantment(s) |  
[2024-03-17 22:42:47] [world] The Player <bagelz> has picked 1 of COBBLESTONE at X= 1258, Y= 5, Z= 2453 that had [] enchantment(s) |  
[2024-03-17 22:42:48] [world] The Player <bagelz> has picked 1 of COBBLESTONE at X= 1259, Y= 5, Z= 2453 that had [] enchantment(s) |  
[2024-03-17 22:42:49] [world] The Player <bagelz> has picked 1 of COBBLESTONE at X= 1260, Y= 5, Z= 2453 that had [] enchantment(s) |  
[2024-03-17 22:42:49] [world] The Player <bagelz> has picked 1 of COBBLESTONE at X= 1261, Y= 6, Z= 2453 that had [] enchantment(s) |  
[2024-03-17 22:42:50] [world] The Player <bagelz> has picked 1 of COBBLESTONE at X= 1261, Y= 5, Z= 2453 that had [] enchantment(s) |  
[2024-03-17 22:42:51] [world] The Player <bagelz> has picked 1 of COBBLESTONE at X= 1262, Y= 6, Z= 2453 that had [] enchantment(s) |  
[2024-03-17 22:42:52] [world] The Player <bagelz> has picked 1 of COBBLESTONE at X= 1261, Y= 5, Z= 2453 that had [] enchantment(s) |  
[2024-03-17 22:42:52] [world] The Player <bagelz> has picked 1 of COBBLESTONE at X= 1263, Y= 6, Z= 2453 that had [] enchantment(s) |  
[2024-03-17 22:42:53] [world] The Player <bagelz> has picked 1 of COBBLESTONE at X= 1263, Y= 5, Z= 2453 that had [] enchantment(s) |  
[2024-03-17 22:42:54] [world] The Player <bagelz> has picked 1 of COBBLESTONE at X= 1264, Y= 6, Z= 2453 that had [] enchantment(s) |  
[2024-03-17 22:42:54] [world] The Player <bagelz> has picked 1 of COBBLESTONE at X= 1264, Y= 5, Z= 2453 that had [] enchantment(s) |  
[2024-03-17 22:42:55] [world] The Player <bagelz> has picked 1 of COBBLESTONE at X= 1265, Y= 6, Z= 2453 that had [] enchantment(s) |  
[2024-03-17 22:43:05] [world] The Player <Tester> has picked 1 of WOOL at X= -10189, Y= 63, Z= 4115 that had [] enchantment(s) | §5Portal Block Placer
[2024-03-17 22:43:33] [world] The Player <Tester> has picked 1 of WOOL at X= -10191, Y= 64, Z= 4119 that had [] enchantment(s) |  
[2024-03-17 22:43:44] [world] The Player <TurtleDuck> has picked 2 of LEASH at X= 3998, Y= 65, Z= -1839 that had [] enchantment(s) |  
[2024-03-17 22:43:45] [world_nether] The Player <Heinrich_Himmler> has picked 1 of OBSIDIAN at X= -53, Y= 67, Z= 37 that had [] enchantment(s) |  
[2024-03-17 22:44:02] [world_the_end] The Player <Brycethelegend> has picked 1 of ENDER_PEARL at X= 50, Y= 62, Z= 1 that had [] enchantment(s) |  
[2024-03-17 22:44:05] [world_nether] The Player <Heinrich_Himmler> has picked 1 of SOUL_SAND at X= -65, Y= 63, Z= 51 that had [] enchantment(s) |  
[2024-03-17 22:44:16] [world] The Player <TurtleDuck> has picked 1 of DIAMOND_HELMET at X= 3972, Y= 64, Z= -1849 that had [] enchantment(s) |  
[2024-03-17 22:44:24] [world_the_end] The Player <Brycethelegend> has picked 1 of ENDER_PEARL at X= 21, Y= 59, Z= -3 that had [] enchantment(s) |  
[2024-03-17 22:44:42] [world_the_end] The Player <Brycethelegend> has picked 1 of ENDER_PEARL at X= 18, Y= 59, Z= -14 that had [] enchantment(s) |  
[2024-03-17 22:44:57] [world] The Player <bagelz> has picked 1 of COBBLESTONE at X= 1023, Y= 103, Z= 2320 that had [] enchantment(s) |  
[2024-03-17 22:45:07] [world] The Player <TurtleDuck> has picked 1 of DIAMOND_CHESTPLATE at X= 3974, Y= 64, Z= -1850 that had [] enchantment(s) |  
[2024-03-17 22:45:12] [world] The Player <TurtleDuck> has picked 1 of DIAMOND_LEGGINGS at X= 3975, Y= 64, Z= -1850 that had [] enchantment(s) |  
[2024-03-17 22:45:17] [world] The Player <Brycethelegend> has picked 1 of STICK at X= -1604, Y= 13, Z= -203 that had [] enchantment(s) |  
[2024-03-17 22:45:20] [world] The Player <TurtleDuck> has picked 1 of SAND at X= 3975, Y= 64, Z= -1852 that had [] enchantment(s) |  
[2024-03-17 22:45:23] [world] The Player <Brycethelegend> has picked 1 of STICK at X= -1613, Y= 12, Z= -203 that had [] enchantment(s) |  
[2024-03-17 22:45:31] [world] The Player <Brycethelegend> has picked 4 of ROTTEN_FLESH at X= -1615, Y= 12, Z= -204 that had [] enchantment(s) |  
[2024-03-17 22:45:36] [world] The Player <Brycethelegend> has picked 2 of ROTTEN_FLESH at X= -1617, Y= 12, Z= -199 that had [] enchantment(s) |  
[2024-03-17 22:45:44] [world] The Player <Brycethelegend> has picked 4 of SULPHUR at X= -1603, Y= 13, Z= -203 that had [] enchantment(s) |  
[2024-03-17 22:45:46] [world] The Player <Brycethelegend> has picked 1 of STICK at X= -1603, Y= 13, Z= -207 that had [] enchantment(s) |  
[2024-03-17 22:46:18] [world] The Player <bagelz> has picked 1 of STEP at X= 1028, Y= 105, Z= 2310 that had [] enchantment(s) |  
[2024-03-17 22:46:31] [world] The Player <TurtleDuck> has picked 1 of LEASH at X= 3999, Y= 65, Z= -1844 that had [] enchantment(s) |  
[2024-03-17 22:46:39] [world] The Player <Brycethelegend> has picked 29 of IRON_INGOT at X= -1593, Y= 12, Z= -209 that had [] enchantment(s) |  
[2024-03-17 22:46:41] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of ARROW at X= 5, Y= 59, Z= 36 that had [] enchantment(s) |  
[2024-03-17 22:46:46] [world] The Player <bagelz> has picked 1 of STEP at X= 1041, Y= 105, Z= 2309 that had [] enchantment(s) |  
[2024-03-17 22:46:49] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of ARROW at X= 5, Y= 58, Z= 36 that had [] enchantment(s) |  
[2024-03-17 22:47:01] [world] The Player <bagelz> has picked 1 of STEP at X= 1040, Y= 105, Z= 2317 that had [] enchantment(s) |  
[2024-03-17 22:47:33] [world] The Player <Heinrich_Himmler> has picked 1 of ARROW at X= -572, Y= 69, Z= 319 that had [] enchantment(s) |  
[2024-03-17 22:47:58] [world] The Player <bagelz> has picked 1 of COBBLESTONE at X= 1041, Y= 105, Z= 2325 that had [] enchantment(s) |  
[2024-03-17 22:48:09] [world] The Player <Brycethelegend> has picked 3 of STICK at X= -1593, Y= 12, Z= -207 that had [] enchantment(s) |  
[2024-03-17 22:48:11] [world_nether] The Player <Heinrich_Himmler> has picked 1 of ARROW at X= -71, Y= 76, Z= 27 that had [] enchantment(s) |  
[2024-03-17 22:48:17] [world] The Player <Brycethelegend> has picked 1 of STICK at X= -1593, Y= 12, Z= -208 that had [] enchantment(s) |  
[2024-03-17 22:48:28] [world] The Player <Brycethelegend> has picked 1 of ANVIL at X= -1593, Y= 12, Z= -208 that had [] enchantment(s) |  
[2024-03-17 22:48:32] [world] The Player <Brycethelegend> has picked 1 of STICK at X= -1593, Y= 12, Z= -211 that had [] enchantment(s) |  
[2024-03-17 22:49:07] [world_nether] The Player <Heinrich_Himmler> has picked 1 of BROWN_MUSHROOM at X= -139, Y= 78, Z= 22 that had [] enchantment(s) |  
[2024-03-17 22:49:19] [world] The Player <Brycethelegend> has picked 1 of ANVIL at X= -1593, Y= 12, Z= -209 that had [] enchantment(s) |  
[2024-03-17 22:49:29] [world] The Player <bagelz> has picked 1 of COBBLESTONE at X= 1035, Y= 78, Z= 2328 that had [] enchantment(s) |  
[2024-03-17 22:49:34] [world] The Player <Brycethelegend> has picked 9 of REDSTONE at X= -1592, Y= 11, Z= -209 that had [] enchantment(s) |  
[2024-03-17 22:49:41] [world] The Player <Brycethelegend> has picked 9 of REDSTONE at X= -1598, Y= 11, Z= -206 that had [] enchantment(s) |  
[2024-03-17 22:49:50] [world] The Player <Brycethelegend> has picked 15 of REDSTONE at X= -1603, Y= 11, Z= -214 that had [] enchantment(s) |  
[2024-03-17 22:49:50] [world] The Player <Brycethelegend> has picked 1 of REDSTONE at X= -1603, Y= 11, Z= -214 that had [] enchantment(s) |  
[2024-03-17 22:49:50] [world] The Player <Brycethelegend> has picked 1 of REDSTONE at X= -1603, Y= 11, Z= -214 that had [] enchantment(s) |  
[2024-03-17 22:49:50] [world] The Player <Brycethelegend> has picked 1 of REDSTONE at X= -1602, Y= 10, Z= -213 that had [] enchantment(s) |  
[2024-03-17 22:49:50] [world] The Player <Brycethelegend> has picked 1 of REDSTONE at X= -1602, Y= 10, Z= -213 that had [] enchantment(s) |  
[2024-03-17 22:49:50] [world] The Player <Brycethelegend> has picked 1 of REDSTONE at X= -1602, Y= 10, Z= -213 that had [] enchantment(s) |  
[2024-03-17 22:49:50] [world] The Player <Brycethelegend> has picked 1 of REDSTONE at X= -1602, Y= 10, Z= -213 that had [] enchantment(s) |  
[2024-03-17 22:50:57] [world] The Player <Brycethelegend> has picked 1 of SPIDER_EYE at X= -1603, Y= 12, Z= -211 that had [] enchantment(s) |  
[2024-03-17 22:51:09] [world] The Player <Brycethelegend> has picked 1 of SPIDER_EYE at X= -1614, Y= 12, Z= -204 that had [] enchantment(s) |  
[2024-03-17 22:51:12] [world] The Player <Brycethelegend> has picked 1 of SPIDER_EYE at X= -1617, Y= 11, Z= -205 that had [] enchantment(s) |  
[2024-03-17 22:51:12] [world] The Player <Brycethelegend> has picked 1 of ROTTEN_FLESH at X= -1616, Y= 11, Z= -206 that had [] enchantment(s) |  
[2024-03-17 22:52:06] [world] The Player <TurtleDuck> has picked 1 of SADDLE at X= 3989, Y= 65, Z= -1857 that had [] enchantment(s) |  
[2024-03-17 22:52:24] [world] The Player <Brycethelegend> has picked 1 of REDSTONE at X= -1561, Y= 13, Z= -189 that had [] enchantment(s) |  
[2024-03-17 22:52:24] [world] The Player <Brycethelegend> has picked 1 of REDSTONE at X= -1561, Y= 13, Z= -189 that had [] enchantment(s) |  
[2024-03-17 22:52:24] [world] The Player <Brycethelegend> has picked 1 of REDSTONE at X= -1561, Y= 13, Z= -189 that had [] enchantment(s) |  
[2024-03-17 22:52:24] [world] The Player <Brycethelegend> has picked 1 of REDSTONE at X= -1561, Y= 13, Z= -189 that had [] enchantment(s) |  
[2024-03-17 22:52:24] [world] The Player <Brycethelegend> has picked 1 of REDSTONE at X= -1561, Y= 13, Z= -189 that had [] enchantment(s) |  
[2024-03-17 22:52:29] [world] The Player <Brycethelegend> has picked 4 of REDSTONE at X= -1561, Y= 13, Z= -188 that had [] enchantment(s) |  
[2024-03-17 22:52:29] [world] The Player <Brycethelegend> has picked 1 of COBBLESTONE at X= -1561, Y= 12, Z= -188 that had [] enchantment(s) |  
[2024-03-17 22:52:32] [world] The Player <Brycethelegend> has picked 3 of REDSTONE at X= -1562, Y= 13, Z= -188 that had [] enchantment(s) |  
[2024-03-17 22:52:32] [world] The Player <Brycethelegend> has picked 1 of REDSTONE at X= -1562, Y= 13, Z= -188 that had [] enchantment(s) |  
[2024-03-17 22:52:33] [world] The Player <Brycethelegend> has picked 3 of REDSTONE at X= -1562, Y= 13, Z= -189 that had [] enchantment(s) |  
[2024-03-17 22:52:33] [world] The Player <Brycethelegend> has picked 1 of REDSTONE at X= -1562, Y= 13, Z= -189 that had [] enchantment(s) |  
[2024-03-17 22:52:33] [world] The Player <Brycethelegend> has picked 1 of REDSTONE at X= -1562, Y= 13, Z= -189 that had [] enchantment(s) |  
[2024-03-17 22:52:58] [world_nether] The Player <NezukoChan> has picked 12 of NETHERRACK at X= -1262, Y= 53, Z= 502 that had [] enchantment(s) |  
[2024-03-17 22:53:00] [world_nether] The Player <NezukoChan> has picked 1 of NETHERRACK at X= -1262, Y= 54, Z= 501 that had [] enchantment(s) |  
[2024-03-17 22:53:11] [world] The Player <Brycethelegend> has picked 1 of IRON_ORE at X= -1563, Y= 17, Z= -198 that had [] enchantment(s) |  
[2024-03-17 22:53:13] [world] The Player <Brycethelegend> has picked 1 of IRON_ORE at X= -1563, Y= 17, Z= -198 that had [] enchantment(s) |  
[2024-03-17 22:53:16] [world] The Player <Brycethelegend> has picked 1 of IRON_ORE at X= -1563, Y= 12, Z= -199 that had [] enchantment(s) |  
[2024-03-17 22:53:18] [world_nether] The Player <NezukoChan> has picked 20 of NETHERRACK at X= -1259, Y= 57, Z= 501 that had [] enchantment(s) |  
