[2024-03-19 11:18:16] [world] The Player <Rip_Dogwater> has picked 1 of WOOL at X= -572, Y= 68, Z= 275 that had [] enchantment(s) |  
[2024-03-19 23:34:16] [world] The Player <NezukoChan> has picked 1 of SAND at X= -10169, Y= 62, Z= 4084 that had [] enchantment(s) |  
[2024-03-19 23:34:18] [world] The Player <NezukoChan> has picked 1 of SAND at X= -10169, Y= 62, Z= 4086 that had [] enchantment(s) |  
[2024-03-19 23:34:19] [world] The Player <NezukoChan> has picked 1 of SAND at X= -10168, Y= 62, Z= 4085 that had [] enchantment(s) |  
[2024-03-19 23:34:21] [world] The Player <NezukoChan> has picked 1 of SAND at X= -10167, Y= 62, Z= 4085 that had [] enchantment(s) |  
[2024-03-19 23:37:16] [world] The Player <TurtleDuck> has picked 1 of REDSTONE at X= -571, Y= 66, Z= 291 that had [] enchantment(s) |  
[2024-03-19 23:37:51] [world] The Player <NezukoChan> has picked 1 of GLASS at X= -10166, Y= 64, Z= 4117 that had [] enchantment(s) |  
[2024-03-19 23:38:52] [world] The Player <NezukoChan> has picked 2 of NETHER_STALK at X= -10188, Y= 62, Z= 4106 that had [] enchantment(s) |  
[2024-03-19 23:38:56] [world] The Player <NezukoChan> has picked 6 of GLASS_BOTTLE at X= -10188, Y= 63, Z= 4110 that had [] enchantment(s) |  
[2024-03-19 23:39:00] [world] The Player <TurtleDuck> has picked 1 of SADDLE at X= -536, Y= 69, Z= 318 that had [] enchantment(s) |  
[2024-03-19 23:39:21] [world] The Player <NezukoChan> has picked 1 of POTION at X= -10173, Y= 62, Z= 4107 that had [] enchantment(s) |  
[2024-03-19 23:39:24] [world] The Player <NezukoChan> has picked 5 of GLASS_BOTTLE at X= -10172, Y= 62, Z= 4107 that had [] enchantment(s) |  
[2024-03-19 23:39:28] [world] The Player <NezukoChan> has picked 1 of POTION at X= -10172, Y= 62, Z= 4107 that had [] enchantment(s) |  
[2024-03-19 23:39:33] [world] The Player <NezukoChan> has picked 1 of POTION at X= -10172, Y= 62, Z= 4107 that had [] enchantment(s) |  
[2024-03-19 23:39:36] [world] The Player <NezukoChan> has picked 5 of GLASS_BOTTLE at X= -10173, Y= 62, Z= 4107 that had [] enchantment(s) |  
[2024-03-19 23:39:46] [world] The Player <NezukoChan> has picked 1 of POTION at X= -10173, Y= 62, Z= 4107 that had [] enchantment(s) |  
[2024-03-19 23:39:55] [world] The Player <NezukoChan> has picked 1 of POTION at X= -10172, Y= 62, Z= 4107 that had [] enchantment(s) |  
[2024-03-19 23:40:08] [world] The Player <NezukoChan> has picked 1 of POTION at X= -10172, Y= 62, Z= 4107 that had [] enchantment(s) |  
[2024-03-19 23:40:18] [world] The Player <TurtleDuck> has picked 1 of SPRUCE_FENCE at X= -560, Y= 65, Z= 286 that had [] enchantment(s) |  
[2024-03-19 23:40:20] [world] The Player <NezukoChan> has picked 6 of BLAZE_POWDER at X= -10188, Y= 63, Z= 4110 that had [] enchantment(s) |  
[2024-03-19 23:40:26] [world] The Player <NezukoChan> has picked 5 of ENDER_CHEST at X= -10187, Y= 63, Z= 4110 that had [] enchantment(s) |  
[2024-03-19 23:40:35] [world] The Player <NezukoChan> has picked 3 of NETHER_STALK at X= -10189, Y= 62, Z= 4107 that had [] enchantment(s) |  
[2024-03-19 23:40:40] [world] The Player <NezukoChan> has picked 6 of BLAZE_POWDER at X= -10186, Y= 63, Z= 4105 that had [] enchantment(s) |  
[2024-03-19 23:40:46] [world] The Player <NezukoChan> has picked 6 of BLAZE_POWDER at X= -10188, Y= 63, Z= 4109 that had [] enchantment(s) |  
[2024-03-19 23:40:47] [world] The Player <TurtleDuck> has picked 6 of LEASH at X= -562, Y= 67, Z= 286 that had [] enchantment(s) |  
[2024-03-19 23:40:53] [world] The Player <NezukoChan> has picked 6 of BLAZE_POWDER at X= -10188, Y= 63, Z= 4110 that had [] enchantment(s) |  
[2024-03-19 23:41:33] [world] The Player <NezukoChan> has picked 3 of WOOD at X= -10171, Y= 63, Z= 4117 that had [] enchantment(s) |  
[2024-03-19 23:42:05] [world] The Player <TurtleDuck> has picked 1 of LEVER at X= -555, Y= 65, Z= 285 that had [] enchantment(s) |  
[2024-03-19 23:42:52] [world] The Player <TurtleDuck> has picked 1 of MONSTER_EGG at X= -554, Y= 64, Z= 286 that had [] enchantment(s) |  
[2024-03-19 23:43:35] [world] The Player <TurtleDuck> has picked 1 of REDSTONE at X= -553, Y= 64, Z= 284 that had [] enchantment(s) |  
[2024-03-19 23:52:26] [world] The Player <Heinrich_Himmler> has picked 3 of COBBLESTONE at X= -728, Y= 5, Z= 352 that had [] enchantment(s) |  
[2024-03-19 23:52:27] [world] The Player <Heinrich_Himmler> has picked 1 of COBBLESTONE at X= -729, Y= 5, Z= 352 that had [] enchantment(s) |  
[2024-03-19 23:52:28] [world] The Player <Heinrich_Himmler> has picked 2 of COBBLESTONE at X= -730, Y= 5, Z= 352 that had [] enchantment(s) |  
[2024-03-19 23:52:31] [world] The Player <Heinrich_Himmler> has picked 4 of COBBLESTONE at X= -732, Y= 5, Z= 352 that had [] enchantment(s) |  
[2024-03-19 23:52:34] [world] The Player <Heinrich_Himmler> has picked 2 of COBBLESTONE at X= -733, Y= 5, Z= 352 that had [] enchantment(s) |  
[2024-03-19 23:52:36] [world] The Player <Heinrich_Himmler> has picked 2 of COBBLESTONE at X= -734, Y= 5, Z= 352 that had [] enchantment(s) |  
[2024-03-19 23:52:36] [world] The Player <Heinrich_Himmler> has picked 1 of COBBLESTONE at X= -735, Y= 6, Z= 352 that had [] enchantment(s) |  
[2024-03-19 23:52:42] [world] The Player <Heinrich_Himmler> has picked 6 of COBBLESTONE at X= -734, Y= 5, Z= 352 that had [] enchantment(s) |  
[2024-03-19 23:52:42] [world] The Player <Heinrich_Himmler> has picked 1 of COBBLESTONE at X= -736, Y= 5, Z= 352 that had [] enchantment(s) |  
[2024-03-19 23:52:43] [world] The Player <Heinrich_Himmler> has picked 1 of COBBLESTONE at X= -738, Y= 5, Z= 352 that had [] enchantment(s) |  
[2024-03-19 23:52:44] [world] The Player <Heinrich_Himmler> has picked 1 of COBBLESTONE at X= -738, Y= 5, Z= 352 that had [] enchantment(s) |  
[2024-03-19 23:52:57] [world] The Player <Heinrich_Himmler> has picked 8 of COBBLESTONE at X= -743, Y= 5, Z= 352 that had [] enchantment(s) |  
[2024-03-19 23:53:03] [world] The Player <Heinrich_Himmler> has picked 2 of COBBLESTONE at X= -744, Y= 5, Z= 352 that had [] enchantment(s) |  
[2024-03-19 23:53:04] [world] The Player <Heinrich_Himmler> has picked 2 of COBBLESTONE at X= -745, Y= 5, Z= 352 that had [] enchantment(s) |  
[2024-03-19 23:53:34] [world] The Player <Heinrich_Himmler> has picked 3 of COBBLESTONE at X= -711, Y= 5, Z= 352 that had [] enchantment(s) |  
[2024-03-19 23:53:34] [world] The Player <Heinrich_Himmler> has picked 1 of COBBLESTONE at X= -710, Y= 5, Z= 352 that had [] enchantment(s) |  
[2024-03-19 23:53:36] [world] The Player <Heinrich_Himmler> has picked 3 of COBBLESTONE at X= -709, Y= 5, Z= 352 that had [] enchantment(s) |  
[2024-03-19 23:53:37] [world] The Player <Heinrich_Himmler> has picked 1 of COBBLESTONE at X= -709, Y= 5, Z= 352 that had [] enchantment(s) |  
[2024-03-19 23:53:38] [world] The Player <Heinrich_Himmler> has picked 2 of COBBLESTONE at X= -707, Y= 5, Z= 352 that had [] enchantment(s) |  
[2024-03-19 23:53:40] [world] The Player <Heinrich_Himmler> has picked 2 of COBBLESTONE at X= -706, Y= 5, Z= 352 that had [] enchantment(s) |  
[2024-03-19 23:53:43] [world] The Player <Heinrich_Himmler> has picked 6 of COBBLESTONE at X= -704, Y= 5, Z= 352 that had [] enchantment(s) |  
[2024-03-19 23:53:45] [world] The Player <Heinrich_Himmler> has picked 3 of COBBLESTONE at X= -703, Y= 5, Z= 352 that had [] enchantment(s) |  
[2024-03-19 23:53:46] [world] The Player <Heinrich_Himmler> has picked 1 of COBBLESTONE at X= -701, Y= 5, Z= 352 that had [] enchantment(s) |  
[2024-03-19 23:53:48] [world] The Player <Heinrich_Himmler> has picked 4 of COBBLESTONE at X= -700, Y= 5, Z= 352 that had [] enchantment(s) |  
[2024-03-19 23:53:49] [world] The Player <Heinrich_Himmler> has picked 1 of COBBLESTONE at X= -699, Y= 5, Z= 352 that had [] enchantment(s) |  
[2024-03-19 23:53:50] [world] The Player <Heinrich_Himmler> has picked 2 of COBBLESTONE at X= -698, Y= 5, Z= 352 that had [] enchantment(s) |  
[2024-03-19 23:53:51] [world] The Player <Heinrich_Himmler> has picked 1 of COBBLESTONE at X= -697, Y= 5, Z= 352 that had [] enchantment(s) |  
[2024-03-19 23:53:51] [world] The Player <Heinrich_Himmler> has picked 1 of COBBLESTONE at X= -696, Y= 5, Z= 352 that had [] enchantment(s) |  
[2024-03-19 23:53:52] [world] The Player <Heinrich_Himmler> has picked 1 of COBBLESTONE at X= -696, Y= 5, Z= 352 that had [] enchantment(s) |  
[2024-03-19 23:53:53] [world] The Player <Heinrich_Himmler> has picked 2 of COBBLESTONE at X= -695, Y= 5, Z= 352 that had [] enchantment(s) |  
[2024-03-19 23:53:54] [world] The Player <Heinrich_Himmler> has picked 1 of COBBLESTONE at X= -695, Y= 6, Z= 352 that had [] enchantment(s) |  
[2024-03-19 23:53:55] [world] The Player <Heinrich_Himmler> has picked 1 of IRON_ORE at X= -693, Y= 6, Z= 352 that had [] enchantment(s) |  
[2024-03-19 23:53:56] [world] The Player <Heinrich_Himmler> has picked 1 of COBBLESTONE at X= -695, Y= 5, Z= 352 that had [] enchantment(s) |  
[2024-03-19 23:53:56] [world] The Player <Heinrich_Himmler> has picked 1 of COBBLESTONE at X= -693, Y= 5, Z= 352 that had [] enchantment(s) |  
[2024-03-19 23:53:57] [world] The Player <Heinrich_Himmler> has picked 1 of IRON_ORE at X= -693, Y= 6, Z= 353 that had [] enchantment(s) |  
[2024-03-19 23:53:58] [world] The Player <Heinrich_Himmler> has picked 1 of IRON_ORE at X= -693, Y= 5, Z= 353 that had [] enchantment(s) |  
[2024-03-19 23:53:59] [world] The Player <Heinrich_Himmler> has picked 1 of IRON_ORE at X= -693, Y= 5, Z= 353 that had [] enchantment(s) |  
[2024-03-19 23:54:00] [world] The Player <Heinrich_Himmler> has picked 1 of IRON_ORE at X= -692, Y= 6, Z= 352 that had [] enchantment(s) |  
[2024-03-19 23:54:01] [world] The Player <Heinrich_Himmler> has picked 2 of COBBLESTONE at X= -692, Y= 5, Z= 353 that had [] enchantment(s) |  
[2024-03-19 23:54:02] [world] The Player <Heinrich_Himmler> has picked 1 of COBBLESTONE at X= -692, Y= 5, Z= 352 that had [] enchantment(s) |  
[2024-03-19 23:54:02] [world] The Player <Heinrich_Himmler> has picked 1 of COBBLESTONE at X= -691, Y= 5, Z= 352 that had [] enchantment(s) |  
[2024-03-19 23:54:05] [world] The Player <Heinrich_Himmler> has picked 1 of IRON_ORE at X= -692, Y= 5, Z= 352 that had [] enchantment(s) |  
[2024-03-19 23:54:08] [world] The Player <Heinrich_Himmler> has picked 1 of COBBLESTONE at X= -689, Y= 5, Z= 352 that had [] enchantment(s) |  
[2024-03-19 23:54:09] [world] The Player <Heinrich_Himmler> has picked 5 of COBBLESTONE at X= -689, Y= 5, Z= 352 that had [] enchantment(s) |  
[2024-03-19 23:54:10] [world] The Player <Heinrich_Himmler> has picked 2 of COBBLESTONE at X= -687, Y= 5, Z= 352 that had [] enchantment(s) |  
[2024-03-19 23:54:12] [world] The Player <Heinrich_Himmler> has picked 1 of COBBLESTONE at X= -686, Y= 6, Z= 352 that had [] enchantment(s) |  
[2024-03-19 23:54:13] [world] The Player <Heinrich_Himmler> has picked 2 of COBBLESTONE at X= -686, Y= 5, Z= 352 that had [] enchantment(s) |  
[2024-03-19 23:54:18] [world] The Player <Heinrich_Himmler> has picked 5 of COBBLESTONE at X= -683, Y= 5, Z= 352 that had [] enchantment(s) |  
[2024-03-19 23:57:25] [world] The Player <Heinrich_Himmler> has picked 1 of COBBLESTONE at X= -717, Y= 5, Z= 335 that had [] enchantment(s) |  
[2024-03-19 23:57:26] [world] The Player <Heinrich_Himmler> has picked 2 of COBBLESTONE at X= -717, Y= 5, Z= 335 that had [] enchantment(s) |  
[2024-03-19 23:57:27] [world] The Player <Heinrich_Himmler> has picked 1 of COBBLESTONE at X= -717, Y= 5, Z= 333 that had [] enchantment(s) |  
[2024-03-19 23:57:28] [world] The Player <Heinrich_Himmler> has picked 2 of COBBLESTONE at X= -717, Y= 5, Z= 332 that had [] enchantment(s) |  
[2024-03-19 23:57:30] [world] The Player <Heinrich_Himmler> has picked 1 of COBBLESTONE at X= -717, Y= 5, Z= 332 that had [] enchantment(s) |  
[2024-03-19 23:57:32] [world] The Player <Heinrich_Himmler> has picked 5 of COBBLESTONE at X= -717, Y= 5, Z= 329 that had [] enchantment(s) |  
[2024-03-19 23:57:34] [world] The Player <Heinrich_Himmler> has picked 4 of COBBLESTONE at X= -717, Y= 5, Z= 327 that had [] enchantment(s) |  
[2024-03-19 23:57:38] [world] The Player <Heinrich_Himmler> has picked 6 of COBBLESTONE at X= -717, Y= 5, Z= 326 that had [] enchantment(s) |  
[2024-03-19 23:57:40] [world] The Player <Heinrich_Himmler> has picked 3 of COBBLESTONE at X= -717, Y= 5, Z= 323 that had [] enchantment(s) |  
[2024-03-19 23:57:50] [world] The Player <Heinrich_Himmler> has picked 13 of COBBLESTONE at X= -717, Y= 5, Z= 316 that had [] enchantment(s) |  
[2024-03-19 23:57:52] [world] The Player <Heinrich_Himmler> has picked 4 of COBBLESTONE at X= -717, Y= 5, Z= 314 that had [] enchantment(s) |  
[2024-03-19 23:57:54] [world] The Player <Heinrich_Himmler> has picked 4 of COBBLESTONE at X= -717, Y= 5, Z= 313 that had [] enchantment(s) |  
[2024-03-19 23:57:57] [world] The Player <Heinrich_Himmler> has picked 4 of COBBLESTONE at X= -717, Y= 5, Z= 310 that had [] enchantment(s) |  
[2024-03-19 23:58:25] [world_the_end] The Player <Heinrich_Himmler> has picked 2 of NETHERRACK at X= 100, Y= 49, Z= 0 that had [] enchantment(s) |  
[2024-03-19 23:58:27] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of NETHERRACK at X= 100, Y= 50, Z= 0 that had [] enchantment(s) |  
[2024-03-19 23:58:40] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of REDSTONE_TORCH_ON at X= 66, Y= 61, Z= 9 that had [] enchantment(s) |  
[2024-03-19 23:59:35] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of SAND at X= 100, Y= 50, Z= 1 that had [] enchantment(s) |  
[2024-03-19 23:59:37] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of SAND at X= 99, Y= 49, Z= -1 that had [] enchantment(s) |  
[2024-03-19 23:59:38] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of SAND at X= 100, Y= 49, Z= 0 that had [] enchantment(s) |  
[2024-03-19 23:59:40] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of SAND at X= 99, Y= 49, Z= -1 that had [] enchantment(s) |  
[2024-03-19 23:59:42] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of SAND at X= 100, Y= 51, Z= 1 that had [] enchantment(s) |  
[2024-03-19 23:59:47] [world_the_end] The Player <Heinrich_Himmler> has picked 4 of SAND at X= 100, Y= 49, Z= -1 that had [] enchantment(s) |  
[2024-03-19 23:59:49] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of SAND at X= 98, Y= 49, Z= 0 that had [] enchantment(s) |  
[2024-03-19 23:59:49] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of SAND at X= 98, Y= 49, Z= 0 that had [] enchantment(s) |  
[2024-03-19 23:59:51] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of SAND at X= 97, Y= 49, Z= 0 that had [] enchantment(s) |  
[2024-03-19 23:59:55] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of SAND at X= 100, Y= 49, Z= 0 that had [] enchantment(s) |  
[2024-03-19 23:59:56] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of SAND at X= 99, Y= 49, Z= 0 that had [] enchantment(s) |  
[2024-03-19 23:59:59] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of SAND at X= 98, Y= 49, Z= 0 that had [] enchantment(s) |  
[2024-03-19 23:59:59] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of SAND at X= 98, Y= 50, Z= 1 that had [] enchantment(s) |  
[2024-03-20 00:00:00] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of SAND at X= 98, Y= 49, Z= 1 that had [] enchantment(s) |  
[2024-03-20 00:00:03] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of SAND at X= 99, Y= 49, Z= 1 that had [] enchantment(s) |  
[2024-03-20 00:00:04] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of SAND at X= 98, Y= 49, Z= 0 that had [] enchantment(s) |  
[2024-03-20 00:00:08] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of SAND at X= 100, Y= 49, Z= 2 that had [] enchantment(s) |  
[2024-03-20 00:00:10] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of SAND at X= 100, Y= 49, Z= 1 that had [] enchantment(s) |  
[2024-03-20 00:00:11] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of SAND at X= 99, Y= 49, Z= 1 that had [] enchantment(s) |  
[2024-03-20 00:00:13] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of SAND at X= 99, Y= 49, Z= 1 that had [] enchantment(s) |  
[2024-03-20 00:00:16] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of SAND at X= 98, Y= 49, Z= 0 that had [] enchantment(s) |  
[2024-03-20 00:00:18] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of SAND at X= 97, Y= 49, Z= 1 that had [] enchantment(s) |  
[2024-03-20 00:00:19] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of SAND at X= 97, Y= 50, Z= 2 that had [] enchantment(s) |  
[2024-03-20 00:00:20] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of SAND at X= 98, Y= 49, Z= 2 that had [] enchantment(s) |  
[2024-03-20 00:00:21] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of SAND at X= 98, Y= 49, Z= 1 that had [] enchantment(s) |  
[2024-03-20 00:00:30] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of SAND at X= 99, Y= 49, Z= -2 that had [] enchantment(s) |  
[2024-03-20 00:00:32] [world_the_end] The Player <Heinrich_Himmler> has picked 3 of SAND at X= 99, Y= 49, Z= -1 that had [] enchantment(s) |  
[2024-03-20 00:00:34] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of SAND at X= 99, Y= 49, Z= -2 that had [] enchantment(s) |  
[2024-03-20 00:00:37] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of SAND at X= 99, Y= 48, Z= -2 that had [] enchantment(s) |  
[2024-03-20 00:00:41] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of SAND at X= 98, Y= 49, Z= -2 that had [] enchantment(s) |  
[2024-03-20 00:00:49] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of SAND at X= 100, Y= 49, Z= -1 that had [] enchantment(s) |  
[2024-03-20 00:00:51] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of SAND at X= 100, Y= 49, Z= 0 that had [] enchantment(s) |  
[2024-03-20 00:00:52] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of SAND at X= 101, Y= 50, Z= -1 that had [] enchantment(s) |  
[2024-03-20 00:00:53] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of SAND at X= 102, Y= 50, Z= 0 that had [] enchantment(s) |  
[2024-03-20 00:00:55] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of SAND at X= 100, Y= 50, Z= -1 that had [] enchantment(s) |  
[2024-03-20 00:00:56] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of SAND at X= 100, Y= 50, Z= 0 that had [] enchantment(s) |  
[2024-03-20 00:00:58] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of SAND at X= 100, Y= 51, Z= 0 that had [] enchantment(s) |  
[2024-03-20 00:00:59] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of SAND at X= 100, Y= 50, Z= 0 that had [] enchantment(s) |  
[2024-03-20 00:01:02] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of SAND at X= 101, Y= 49, Z= 0 that had [] enchantment(s) |  
[2024-03-20 00:01:03] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of SAND at X= 100, Y= 49, Z= 2 that had [] enchantment(s) |  
[2024-03-20 00:01:04] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of SAND at X= 100, Y= 49, Z= 1 that had [] enchantment(s) |  
[2024-03-20 00:01:06] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of SAND at X= 100, Y= 49, Z= 1 that had [] enchantment(s) |  
[2024-03-20 00:01:07] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of SAND at X= 101, Y= 49, Z= 1 that had [] enchantment(s) |  
[2024-03-20 00:01:10] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of SAND at X= 101, Y= 49, Z= 1 that had [] enchantment(s) |  
[2024-03-20 00:01:11] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of SAND at X= 101, Y= 49, Z= 1 that had [] enchantment(s) |  
[2024-03-20 00:01:14] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of SAND at X= 101, Y= 50, Z= 2 that had [] enchantment(s) |  
[2024-03-20 00:01:15] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of SAND at X= 101, Y= 48, Z= 3 that had [] enchantment(s) |  
[2024-03-20 00:01:16] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of SAND at X= 101, Y= 49, Z= 1 that had [] enchantment(s) |  
[2024-03-20 00:01:20] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of SAND at X= 101, Y= 49, Z= 2 that had [] enchantment(s) |  
[2024-03-20 00:01:22] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of SAND at X= 101, Y= 49, Z= 3 that had [] enchantment(s) |  
[2024-03-20 00:01:23] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of SAND at X= 102, Y= 49, Z= 2 that had [] enchantment(s) |  
[2024-03-20 00:01:26] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of SAND at X= 102, Y= 49, Z= 1 that had [] enchantment(s) |  
[2024-03-20 00:01:29] [world_the_end] The Player <Heinrich_Himmler> has picked 2 of SAND at X= 100, Y= 48, Z= -2 that had [] enchantment(s) |  
[2024-03-20 00:01:30] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of SAND at X= 101, Y= 49, Z= -1 that had [] enchantment(s) |  
[2024-03-20 00:01:32] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of SAND at X= 101, Y= 49, Z= -1 that had [] enchantment(s) |  
[2024-03-20 00:01:33] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of SAND at X= 101, Y= 49, Z= -2 that had [] enchantment(s) |  
[2024-03-20 00:01:35] [world_the_end] The Player <Heinrich_Himmler> has picked 2 of SAND at X= 102, Y= 49, Z= -2 that had [] enchantment(s) |  
[2024-03-20 00:01:50] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of SANDSTONE at X= 102, Y= 55, Z= 1 that had [] enchantment(s) |  
[2024-03-20 00:01:51] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of SANDSTONE at X= 103, Y= 54, Z= 2 that had [] enchantment(s) |  
[2024-03-20 00:01:51] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of NETHERRACK at X= 101, Y= 56, Z= 1 that had [] enchantment(s) |  
[2024-03-20 00:01:52] [world_the_end] The Player <Heinrich_Himmler> has picked 2 of SANDSTONE at X= 103, Y= 53, Z= 1 that had [] enchantment(s) |  
[2024-03-20 00:01:53] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of SANDSTONE at X= 102, Y= 56, Z= 1 that had [] enchantment(s) |  
[2024-03-20 00:01:55] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of SANDSTONE at X= 102, Y= 56, Z= 0 that had [] enchantment(s) |  
[2024-03-20 00:01:56] [world_the_end] The Player <Heinrich_Himmler> has picked 2 of SANDSTONE at X= 102, Y= 56, Z= 0 that had [] enchantment(s) |  
[2024-03-20 00:01:58] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of SANDSTONE at X= 102, Y= 56, Z= -2 that had [] enchantment(s) |  
[2024-03-20 00:02:00] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of SANDSTONE at X= 101, Y= 58, Z= -2 that had [] enchantment(s) |  
[2024-03-20 00:02:06] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of NETHERRACK at X= 100, Y= 56, Z= 1 that had [] enchantment(s) |  
[2024-03-20 00:02:10] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of COBBLESTONE at X= 102, Y= 55, Z= 1 that had [] enchantment(s) |  
[2024-03-20 00:02:11] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of SANDSTONE at X= 102, Y= 55, Z= 0 that had [] enchantment(s) |  
[2024-03-20 00:02:11] [world_the_end] The Player <Heinrich_Himmler> has picked 2 of NETHERRACK at X= 102, Y= 55, Z= 0 that had [] enchantment(s) |  
[2024-03-20 00:02:12] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of SANDSTONE at X= 102, Y= 55, Z= 0 that had [] enchantment(s) |  
[2024-03-20 00:02:18] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of SANDSTONE at X= 103, Y= 53, Z= 1 that had [] enchantment(s) |  
[2024-03-20 00:02:20] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of GRAVEL at X= 103, Y= 53, Z= 2 that had [] enchantment(s) |  
[2024-03-20 00:02:23] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of GRAVEL at X= 102, Y= 52, Z= 2 that had [] enchantment(s) |  
[2024-03-20 00:02:24] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of GRAVEL at X= 101, Y= 50, Z= 1 that had [] enchantment(s) |  
[2024-03-20 00:02:25] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of GRAVEL at X= 103, Y= 49, Z= 2 that had [] enchantment(s) |  
[2024-03-20 00:02:27] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of GRAVEL at X= 101, Y= 49, Z= 2 that had [] enchantment(s) |  
[2024-03-20 00:02:27] [world_the_end] The Player <Heinrich_Himmler> has picked 3 of NETHERRACK at X= 100, Y= 49, Z= 0 that had [] enchantment(s) |  
[2024-03-20 00:02:28] [world_the_end] The Player <Heinrich_Himmler> has picked 3 of SANDSTONE at X= 103, Y= 49, Z= -1 that had [] enchantment(s) |  
[2024-03-20 00:02:28] [world_the_end] The Player <Heinrich_Himmler> has picked 5 of COBBLESTONE at X= 102, Y= 49, Z= -2 that had [] enchantment(s) |  
[2024-03-20 00:02:32] [world_the_end] The Player <Heinrich_Himmler> has picked 2 of COBBLESTONE at X= 98, Y= 49, Z= -1 that had [] enchantment(s) |  
[2024-03-20 00:02:33] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of COBBLESTONE at X= 98, Y= 49, Z= -2 that had [] enchantment(s) |  
[2024-03-20 00:02:34] [world_the_end] The Player <Heinrich_Himmler> has picked 2 of COBBLESTONE at X= 99, Y= 50, Z= 0 that had [] enchantment(s) |  
[2024-03-20 00:02:34] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of COBBLESTONE at X= 98, Y= 51, Z= -1 that had [] enchantment(s) |  
