[2024-03-24 21:45:28] [world] The Player <GolemDaWanderer> has picked 64 of BONE at X= -10300, Y= 35, Z= 4029 that had [] enchantment(s) |  
[2024-03-24 23:23:55] [world] The Player <GolemDaWanderer> has picked 20 of SEEDS at X= -10158, Y= 63, Z= 4110 that had [] enchantment(s) |  
[2024-03-24 23:25:17] [world] The Player <GolemDaWanderer> has picked 1 of BED at X= -10174, Y= 64, Z= 4126 that had [] enchantment(s) |  
[2024-03-24 23:25:49] [world] The Player <GolemDaWanderer> has picked 1 of COBBLESTONE at X= -10180, Y= 63, Z= 4110 that had [] enchantment(s) |  
[2024-03-24 23:25:49] [world] The Player <GolemDaWanderer> has picked 1 of COBBLESTONE at X= -10180, Y= 64, Z= 4109 that had [] enchantment(s) |  
[2024-03-24 23:25:50] [world] The Player <GolemDaWanderer> has picked 1 of COBBLESTONE at X= -10181, Y= 64, Z= 4109 that had [] enchantment(s) |  
[2024-03-24 23:25:50] [world] The Player <GolemDaWanderer> has picked 1 of COBBLESTONE at X= -10179, Y= 66, Z= 4110 that had [] enchantment(s) |  
[2024-03-24 23:25:52] [world] The Player <GolemDaWanderer> has picked 1 of COBBLESTONE at X= -10180, Y= 66, Z= 4109 that had [] enchantment(s) |  
[2024-03-24 23:25:53] [world] The Player <GolemDaWanderer> has picked 1 of COBBLESTONE at X= -10181, Y= 63, Z= 4109 that had [] enchantment(s) |  
[2024-03-24 23:25:56] [world] The Player <GolemDaWanderer> has picked 1 of WATER_LILY at X= -10181, Y= 63, Z= 4113 that had [] enchantment(s) |  
[2024-03-24 23:25:56] [world] The Player <GolemDaWanderer> has picked 4 of DIRT at X= -10181, Y= 63, Z= 4113 that had [] enchantment(s) |  
[2024-03-24 23:29:14] [world] The Player <GolemDaWanderer> has picked 1 of DOUBLE_PLANT at X= -10180, Y= 63, Z= 4112 that had [] enchantment(s) |  
[2024-03-24 23:30:12] [world] The Player <GolemDaWanderer> has picked 1 of ROTTEN_FLESH at X= -10267, Y= 64, Z= 4073 that had [] enchantment(s) |  
[2024-03-24 23:30:29] [world] The Player <GolemDaWanderer> has picked 2 of SULPHUR at X= -10294, Y= 63, Z= 4017 that had [] enchantment(s) |  
[2024-03-24 23:30:48] [world] The Player <GolemDaWanderer> has picked 2 of STRING at X= -10319, Y= 64, Z= 3964 that had [] enchantment(s) |  
[2024-03-24 23:31:45] [world] The Player <GolemDaWanderer> has picked 2 of LEATHER at X= -10323, Y= 67, Z= 3872 that had [] enchantment(s) |  
[2024-03-24 23:31:45] [world] The Player <GolemDaWanderer> has picked 1 of COOKED_BEEF at X= -10323, Y= 67, Z= 3872 that had [] enchantment(s) |  
[2024-03-24 23:31:49] [world] The Player <GolemDaWanderer> has picked 2 of LEATHER at X= -10330, Y= 66, Z= 3885 that had [] enchantment(s) |  
[2024-03-24 23:31:49] [world] The Player <GolemDaWanderer> has picked 4 of COOKED_BEEF at X= -10330, Y= 66, Z= 3886 that had [] enchantment(s) |  
[2024-03-24 23:31:49] [world] The Player <GolemDaWanderer> has picked 2 of LEATHER at X= -10334, Y= 66, Z= 3885 that had [] enchantment(s) |  
[2024-03-24 23:32:58] [world] The Player <GolemDaWanderer> has picked 1 of WOOL at X= -10420, Y= 64, Z= 3977 that had [] enchantment(s) |  
[2024-03-24 23:32:58] [world] The Player <GolemDaWanderer> has picked 2 of COOKED_MUTTON at X= -10421, Y= 64, Z= 3977 that had [] enchantment(s) |  
[2024-03-24 23:33:03] [world] The Player <GolemDaWanderer> has picked 1 of WOOL at X= -10415, Y= 64, Z= 3976 that had [] enchantment(s) |  
[2024-03-24 23:33:05] [world] The Player <GolemDaWanderer> has picked 1 of COOKED_MUTTON at X= -10414, Y= 65, Z= 3978 that had [] enchantment(s) |  
[2024-03-24 23:33:51] [world] The Player <GolemDaWanderer> has picked 16 of DIRT at X= -10331, Y= 63, Z= 4001 that had [] enchantment(s) |  
[2024-03-24 23:35:04] [world] The Player <GolemDaWanderer> has picked 1 of STONE at X= 9992, Y= 66, Z= -9998 that had [] enchantment(s) |  
[2024-03-24 23:37:10] [world] The Player <GolemDaWanderer> has picked 1 of GLASS_BOTTLE at X= -10250, Y= 64, Z= 4114 that had [] enchantment(s) |  
[2024-03-24 23:37:10] [world] The Player <GolemDaWanderer> has picked 1 of MUTTON at X= -10249, Y= 64, Z= 4115 that had [] enchantment(s) |  
[2024-03-24 23:38:30] [world] The Player <GolemDaWanderer> has picked 1 of LEASH at X= -10241, Y= 63, Z= 4134 that had [] enchantment(s) |  
[2024-03-24 23:38:43] [world] The Player <GolemDaWanderer> has picked 6 of LOG at X= -10237, Y= 65, Z= 4134 that had [] enchantment(s) |  
[2024-03-24 23:39:02] [world] The Player <GolemDaWanderer> has picked 1 of LEASH at X= -10230, Y= 66, Z= 4134 that had [] enchantment(s) |  
[2024-03-24 23:40:19] [world] The Player <GolemDaWanderer> has picked 1 of EGG at X= -10197, Y= 64, Z= 4154 that had [] enchantment(s) |  
[2024-03-24 23:40:21] [world] The Player <GolemDaWanderer> has picked 1 of EGG at X= -10197, Y= 64, Z= 4150 that had [] enchantment(s) |  
[2024-03-24 23:40:32] [world] The Player <GolemDaWanderer> has picked 1 of LEASH at X= -10198, Y= 67, Z= 4113 that had [] enchantment(s) |  
[2024-03-24 23:40:50] [world] The Player <Heinrich_Himmler> has picked 1 of STONE at X= -10299, Y= 35, Z= 4024 that had [] enchantment(s) |  
[2024-03-24 23:41:37] [world] The Player <GolemDaWanderer> has picked 1 of MILK_BUCKET at X= -10176, Y= 63, Z= 4115 that had [Fire Aspect 2, Knockback 2] enchantment(s) | cum
[2024-03-24 23:42:13] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of MOB_SPAWNER at X= -13, Y= 57, Z= -54 that had [] enchantment(s) |  
[2024-03-24 23:42:39] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of MONSTER_EGG at X= -13, Y= 57, Z= -55 that had [] enchantment(s) |  
[2024-03-24 23:43:04] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of MONSTER_EGG at X= -12, Y= 57, Z= -55 that had [] enchantment(s) |  
[2024-03-24 23:43:46] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of MONSTER_EGG at X= -7, Y= 58, Z= -63 that had [] enchantment(s) |  
[2024-03-24 23:43:48] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of MONSTER_EGG at X= -7, Y= 58, Z= -63 that had [] enchantment(s) |  
[2024-03-24 23:43:49] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of MONSTER_EGG at X= -7, Y= 58, Z= -63 that had [] enchantment(s) |  
[2024-03-24 23:43:50] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of MONSTER_EGG at X= -8, Y= 58, Z= -64 that had [] enchantment(s) |  
[2024-03-24 23:43:51] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of MONSTER_EGG at X= -7, Y= 58, Z= -64 that had [] enchantment(s) |  
[2024-03-24 23:43:52] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of MONSTER_EGG at X= -7, Y= 58, Z= -64 that had [] enchantment(s) |  
[2024-03-24 23:43:54] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of MONSTER_EGG at X= -8, Y= 58, Z= -64 that had [] enchantment(s) |  
[2024-03-24 23:43:55] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of MONSTER_EGG at X= -7, Y= 58, Z= -64 that had [] enchantment(s) |  
[2024-03-24 23:43:56] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of MONSTER_EGG at X= -7, Y= 58, Z= -64 that had [] enchantment(s) |  
[2024-03-24 23:43:57] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of MONSTER_EGG at X= -8, Y= 58, Z= -63 that had [] enchantment(s) |  
[2024-03-24 23:43:58] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of MONSTER_EGG at X= -8, Y= 58, Z= -64 that had [] enchantment(s) |  
[2024-03-24 23:43:59] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of MONSTER_EGG at X= -7, Y= 58, Z= -64 that had [] enchantment(s) |  
[2024-03-24 23:44:11] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of MONSTER_EGG at X= -7, Y= 58, Z= -64 that had [] enchantment(s) |  
[2024-03-24 23:44:12] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of MONSTER_EGG at X= -7, Y= 58, Z= -64 that had [] enchantment(s) |  
[2024-03-24 23:44:13] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of MONSTER_EGG at X= -8, Y= 58, Z= -63 that had [] enchantment(s) |  
[2024-03-24 23:44:16] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of MONSTER_EGG at X= -7, Y= 58, Z= -64 that had [] enchantment(s) |  
[2024-03-24 23:44:17] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of MONSTER_EGG at X= -8, Y= 58, Z= -63 that had [] enchantment(s) |  
[2024-03-24 23:44:19] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of MONSTER_EGG at X= -7, Y= 58, Z= -63 that had [] enchantment(s) |  
[2024-03-24 23:44:21] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of MONSTER_EGG at X= -7, Y= 58, Z= -64 that had [] enchantment(s) |  
[2024-03-24 23:44:22] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of MONSTER_EGG at X= -7, Y= 58, Z= -64 that had [] enchantment(s) |  
[2024-03-24 23:44:22] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of MONSTER_EGG at X= -7, Y= 58, Z= -63 that had [] enchantment(s) |  
[2024-03-24 23:44:25] [world_the_end] The Player <Heinrich_Himmler> has picked 2 of MONSTER_EGG at X= -7, Y= 58, Z= -63 that had [] enchantment(s) |  
[2024-03-24 23:44:26] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of MONSTER_EGG at X= -7, Y= 58, Z= -64 that had [] enchantment(s) |  
[2024-03-24 23:44:27] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of MONSTER_EGG at X= -7, Y= 58, Z= -64 that had [] enchantment(s) |  
[2024-03-24 23:44:28] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of MONSTER_EGG at X= -7, Y= 58, Z= -63 that had [] enchantment(s) |  
[2024-03-24 23:44:31] [world_the_end] The Player <Heinrich_Himmler> has picked 12 of BONE at X= -7, Y= 58, Z= -64 that had [] enchantment(s) |  
[2024-03-24 23:44:32] [world_the_end] The Player <Heinrich_Himmler> has picked 2 of MONSTER_EGG at X= -7, Y= 58, Z= -64 that had [] enchantment(s) |  
[2024-03-24 23:45:14] [world_the_end] The Player <Heinrich_Himmler> has picked 52 of BONE at X= -7, Y= 58, Z= -64 that had [] enchantment(s) |  
[2024-03-24 23:45:15] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of MINECART at X= -10, Y= 58, Z= -62 that had [] enchantment(s) |  
[2024-03-24 23:45:15] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of BOW at X= -10, Y= 58, Z= -62 that had [] enchantment(s) |  
[2024-03-24 23:45:15] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of BOW at X= -10, Y= 58, Z= -62 that had [] enchantment(s) |  
[2024-03-24 23:45:15] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of BOW at X= -10, Y= 58, Z= -62 that had [] enchantment(s) |  
[2024-03-24 23:45:15] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of TORCH at X= -10, Y= 58, Z= -62 that had [] enchantment(s) |  
[2024-03-24 23:45:15] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of BOW at X= -10, Y= 58, Z= -62 that had [] enchantment(s) |  
[2024-03-24 23:45:15] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of MINECART at X= -10, Y= 58, Z= -61 that had [] enchantment(s) |  
[2024-03-24 23:45:15] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of MONSTER_EGG at X= -10, Y= 58, Z= -62 that had [] enchantment(s) |  
[2024-03-24 23:45:51] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of BOW at X= -10, Y= 58, Z= -61 that had [] enchantment(s) |  
[2024-03-24 23:46:00] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of MONSTER_EGG at X= -11, Y= 58, Z= -62 that had [] enchantment(s) |  
[2024-03-24 23:46:06] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of BOW at X= -10, Y= 58, Z= -61 that had [] enchantment(s) |  
[2024-03-24 23:46:07] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of BOW at X= -11, Y= 58, Z= -61 that had [] enchantment(s) |  
[2024-03-24 23:46:07] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of BOW at X= -10, Y= 58, Z= -62 that had [] enchantment(s) |  
[2024-03-24 23:46:08] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of MINECART at X= -10, Y= 58, Z= -61 that had [] enchantment(s) |  
[2024-03-24 23:47:57] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of RAW_FISH at X= -2, Y= 58, Z= -65 that had [] enchantment(s) |  
[2024-03-24 23:49:20] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of STONE at X= -10, Y= 58, Z= -62 that had [] enchantment(s) |  
[2024-03-24 23:49:20] [world_the_end] The Player <Heinrich_Himmler> has picked 2 of IRON_DOOR at X= -10, Y= 58, Z= -62 that had [] enchantment(s) |  
[2024-03-24 23:49:23] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of TORCH at X= -11, Y= 58, Z= -62 that had [] enchantment(s) |  
[2024-03-24 23:49:23] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of BOW at X= -11, Y= 58, Z= -62 that had [] enchantment(s) |  
[2024-03-24 23:49:28] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of BOW at X= -11, Y= 58, Z= -62 that had [] enchantment(s) |  
[2024-03-24 23:50:13] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of RAW_BEEF at X= -13, Y= 62, Z= -65 that had [] enchantment(s) |  
[2024-03-24 23:50:13] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of LEATHER at X= -12, Y= 62, Z= -65 that had [] enchantment(s) |  
[2024-03-24 23:50:20] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of BOW at X= -11, Y= 58, Z= -62 that had [] enchantment(s) |  
[2024-03-24 23:50:20] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of BOW at X= -11, Y= 58, Z= -62 that had [] enchantment(s) |  
[2024-03-24 23:51:16] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of LEATHER at X= -14, Y= 90, Z= -67 that had [] enchantment(s) |  
[2024-03-24 23:51:16] [world_the_end] The Player <Heinrich_Himmler> has picked 3 of RAW_BEEF at X= -13, Y= 90, Z= -66 that had [] enchantment(s) |  
[2024-03-24 23:52:11] [world_the_end] The Player <Heinrich_Himmler> has picked 2 of ARROW at X= -10, Y= 91, Z= -67 that had [] enchantment(s) |  
[2024-03-24 23:52:11] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of BONE at X= -10, Y= 90, Z= -66 that had [] enchantment(s) |  
[2024-03-24 23:52:16] [world_the_end] The Player <Heinrich_Himmler> has picked 4 of ARROW at X= -15, Y= 90, Z= -67 that had [] enchantment(s) |  
[2024-03-24 23:52:17] [world_the_end] The Player <Heinrich_Himmler> has picked 2 of BONE at X= -13, Y= 90, Z= -68 that had [] enchantment(s) |  
[2024-03-24 23:52:52] [world_the_end] The Player <Heinrich_Himmler> has picked 4 of BONE at X= -16, Y= 58, Z= -66 that had [] enchantment(s) |  
[2024-03-24 23:52:52] [world_the_end] The Player <Heinrich_Himmler> has picked 6 of ARROW at X= -16, Y= 58, Z= -66 that had [] enchantment(s) |  
[2024-03-24 23:53:08] [world_the_end] The Player <Heinrich_Himmler> has picked 3 of BONE at X= -11, Y= 90, Z= -67 that had [] enchantment(s) |  
[2024-03-24 23:53:49] [world_the_end] The Player <Heinrich_Himmler> has picked 2 of MAGMA_CREAM at X= -12, Y= 90, Z= -64 that had [] enchantment(s) |  
[2024-03-24 23:54:28] [world_the_end] The Player <Heinrich_Himmler> has picked 2 of MAGMA_CREAM at X= -15, Y= 86, Z= -66 that had [] enchantment(s) |  
[2024-03-24 23:54:45] [world_the_end] The Player <Heinrich_Himmler> has picked 3 of RAW_BEEF at X= -12, Y= 86, Z= -67 that had [] enchantment(s) |  
[2024-03-25 00:10:50] [world_nether] The Player <Brycethelegend> has picked 1 of QUARTZ at X= -157, Y= 53, Z= -122 that had [] enchantment(s) |  
[2024-03-25 00:10:53] [world_nether] The Player <Brycethelegend> has picked 1 of QUARTZ at X= -157, Y= 53, Z= -123 that had [] enchantment(s) |  
[2024-03-25 00:10:53] [world_nether] The Player <Brycethelegend> has picked 1 of QUARTZ at X= -156, Y= 53, Z= -123 that had [] enchantment(s) |  
[2024-03-25 00:10:55] [world_nether] The Player <Brycethelegend> has picked 1 of QUARTZ at X= -157, Y= 53, Z= -123 that had [] enchantment(s) |  
[2024-03-25 00:10:56] [world_nether] The Player <Brycethelegend> has picked 1 of QUARTZ at X= -158, Y= 53, Z= -122 that had [] enchantment(s) |  
[2024-03-25 00:10:57] [world_nether] The Player <Brycethelegend> has picked 1 of QUARTZ at X= -158, Y= 53, Z= -122 that had [] enchantment(s) |  
[2024-03-25 00:10:59] [world_nether] The Player <Brycethelegend> has picked 1 of QUARTZ at X= -159, Y= 53, Z= -122 that had [] enchantment(s) |  
[2024-03-25 00:11:27] [world_nether] The Player <Brycethelegend> has picked 1 of QUARTZ at X= -239, Y= 53, Z= -131 that had [] enchantment(s) |  
[2024-03-25 00:11:53] [world_nether] The Player <Brycethelegend> has picked 2 of QUARTZ at X= -228, Y= 79, Z= -132 that had [] enchantment(s) |  
[2024-03-25 00:11:57] [world_nether] The Player <Brycethelegend> has picked 1 of QUARTZ at X= -228, Y= 80, Z= -134 that had [] enchantment(s) |  
[2024-03-25 00:11:58] [world_nether] The Player <Brycethelegend> has picked 1 of QUARTZ at X= -228, Y= 79, Z= -134 that had [] enchantment(s) |  
[2024-03-25 00:11:59] [world_nether] The Player <Brycethelegend> has picked 1 of QUARTZ at X= -228, Y= 79, Z= -134 that had [] enchantment(s) |  
[2024-03-25 00:12:00] [world_nether] The Player <Brycethelegend> has picked 1 of QUARTZ at X= -228, Y= 79, Z= -135 that had [] enchantment(s) |  
[2024-03-25 00:12:01] [world_nether] The Player <Brycethelegend> has picked 1 of QUARTZ at X= -227, Y= 80, Z= -135 that had [] enchantment(s) |  
[2024-03-25 00:12:02] [world_nether] The Player <Brycethelegend> has picked 1 of QUARTZ at X= -228, Y= 79, Z= -135 that had [] enchantment(s) |  
[2024-03-25 00:12:04] [world_nether] The Player <Brycethelegend> has picked 2 of QUARTZ at X= -227, Y= 79, Z= -134 that had [] enchantment(s) |  
[2024-03-25 00:12:49] [world_nether] The Player <Brycethelegend> has picked 2 of GLOWSTONE_DUST at X= -271, Y= 64, Z= -135 that had [] enchantment(s) |  
[2024-03-25 00:12:50] [world_nether] The Player <Brycethelegend> has picked 2 of GLOWSTONE_DUST at X= -270, Y= 64, Z= -135 that had [] enchantment(s) |  
[2024-03-25 00:12:52] [world_nether] The Player <Brycethelegend> has picked 4 of GLOWSTONE_DUST at X= -270, Y= 64, Z= -135 that had [] enchantment(s) |  
[2024-03-25 00:12:54] [world_nether] The Player <Brycethelegend> has picked 2 of GLOWSTONE_DUST at X= -271, Y= 65, Z= -135 that had [] enchantment(s) |  
[2024-03-25 00:12:56] [world_nether] The Player <Brycethelegend> has picked 2 of GLOWSTONE_DUST at X= -271, Y= 64, Z= -135 that had [] enchantment(s) |  
[2024-03-25 00:12:58] [world_nether] The Player <Brycethelegend> has picked 2 of GLOWSTONE_DUST at X= -274, Y= 60, Z= -133 that had [] enchantment(s) |  
[2024-03-25 00:13:00] [world_nether] The Player <Brycethelegend> has picked 2 of GLOWSTONE_DUST at X= -272, Y= 62, Z= -137 that had [] enchantment(s) |  
[2024-03-25 00:14:48] [world_nether] The Player <Brycethelegend> has picked 1 of BLAZE_ROD at X= -285, Y= 56, Z= -136 that had [] enchantment(s) |  
[2024-03-25 00:15:28] [world_nether] The Player <Brycethelegend> has picked 16 of WOOL at X= -286, Y= 55, Z= -135 that had [] enchantment(s) |  
[2024-03-25 00:15:34] [world_nether] The Player <Brycethelegend> has picked 45 of MELON at X= -286, Y= 55, Z= -136 that had [] enchantment(s) |  
[2024-03-25 00:15:39] [world_nether] The Player <Brycethelegend> has picked 16 of WOOL at X= -286, Y= 55, Z= -137 that had [] enchantment(s) |  
[2024-03-25 00:15:39] [world] The Player <NezukoChan> has picked 1 of FENCE at X= -10160, Y= 63, Z= 4120 that had [] enchantment(s) |  
[2024-03-25 00:15:41] [world] The Player <NezukoChan> has picked 1 of FENCE at X= -10160, Y= 63, Z= 4120 that had [] enchantment(s) |  
[2024-03-25 00:15:44] [world_nether] The Player <Brycethelegend> has picked 16 of WOOL at X= -286, Y= 55, Z= -137 that had [] enchantment(s) |  
[2024-03-25 00:15:48] [world] The Player <NezukoChan> has picked 1 of FENCE at X= -10160, Y= 63, Z= 4118 that had [] enchantment(s) |  
[2024-03-25 00:15:50] [world] The Player <NezukoChan> has picked 1 of LEASH at X= -10158, Y= 63, Z= 4116 that had [] enchantment(s) |  
[2024-03-25 00:15:57] [world] The Player <NezukoChan> has picked 2 of FENCE at X= -10157, Y= 63, Z= 4115 that had [] enchantment(s) |  
[2024-03-25 00:16:16] [world_nether] The Player <Brycethelegend> has picked 1 of QUARTZ at X= -283, Y= 55, Z= -136 that had [] enchantment(s) |  
[2024-03-25 00:16:18] [world_nether] The Player <Brycethelegend> has picked 1 of QUARTZ at X= -282, Y= 55, Z= -136 that had [] enchantment(s) |  
[2024-03-25 00:16:18] [world_nether] The Player <Brycethelegend> has picked 1 of QUARTZ at X= -282, Y= 55, Z= -135 that had [] enchantment(s) |  
[2024-03-25 00:16:20] [world_nether] The Player <Brycethelegend> has picked 1 of QUARTZ at X= -281, Y= 56, Z= -134 that had [] enchantment(s) |  
[2024-03-25 00:16:21] [world_nether] The Player <Brycethelegend> has picked 2 of QUARTZ at X= -281, Y= 55, Z= -134 that had [] enchantment(s) |  
[2024-03-25 00:16:46] [world] The Player <NezukoChan> has picked 1 of GLASS_BOTTLE at X= -10173, Y= 63, Z= 4108 that had [] enchantment(s) |  
[2024-03-25 00:16:56] [world_nether] The Player <Brycethelegend> has picked 1 of QUARTZ at X= -298, Y= 53, Z= -134 that had [] enchantment(s) |  
[2024-03-25 00:17:00] [world_nether] The Player <Brycethelegend> has picked 1 of QUARTZ at X= -296, Y= 55, Z= -135 that had [] enchantment(s) |  
[2024-03-25 00:19:00] [world] The Player <NezukoChan> has picked 8 of SUGAR_CANE at X= -10180, Y= 63, Z= 4105 that had [] enchantment(s) |  
[2024-03-25 00:19:01] [world] The Player <NezukoChan> has picked 8 of SUGAR_CANE at X= -10177, Y= 64, Z= 4109 that had [] enchantment(s) |  
[2024-03-25 00:19:02] [world] The Player <NezukoChan> has picked 2 of SUGAR_CANE at X= -10176, Y= 63, Z= 4110 that had [] enchantment(s) |  
[2024-03-25 00:19:03] [world] The Player <NezukoChan> has picked 2 of SUGAR_CANE at X= -10174, Y= 64, Z= 4111 that had [] enchantment(s) |  
[2024-03-25 00:19:07] [world] The Player <NezukoChan> has picked 4 of SUGAR_CANE at X= -10175, Y= 64, Z= 4101 that had [] enchantment(s) |  
[2024-03-25 00:19:09] [world] The Player <NezukoChan> has picked 8 of SUGAR_CANE at X= -10169, Y= 63, Z= 4098 that had [] enchantment(s) |  
[2024-03-25 00:19:14] [world] The Player <NezukoChan> has picked 4 of SUGAR_CANE at X= -10159, Y= 63, Z= 4101 that had [] enchantment(s) |  
[2024-03-25 00:19:21] [world_nether] The Player <Brycethelegend> has picked 1 of QUARTZ at X= -288, Y= 57, Z= -66 that had [] enchantment(s) |  
[2024-03-25 00:19:25] [world_nether] The Player <Brycethelegend> has picked 1 of QUARTZ at X= -288, Y= 58, Z= -65 that had [] enchantment(s) |  
[2024-03-25 00:19:28] [world_nether] The Player <Brycethelegend> has picked 1 of QUARTZ at X= -287, Y= 56, Z= -66 that had [] enchantment(s) |  
[2024-03-25 00:19:29] [world_nether] The Player <Brycethelegend> has picked 1 of QUARTZ at X= -287, Y= 57, Z= -66 that had [] enchantment(s) |  
[2024-03-25 00:19:37] [world_nether] The Player <Brycethelegend> has picked 2 of QUARTZ at X= -295, Y= 45, Z= -68 that had [] enchantment(s) |  
[2024-03-25 00:19:41] [world] The Player <NezukoChan> has picked 10 of SUGAR_CANE at X= -10155, Y= 63, Z= 4095 that had [] enchantment(s) |  
[2024-03-25 00:19:42] [world] The Player <NezukoChan> has picked 2 of SUGAR_CANE at X= -10154, Y= 64, Z= 4093 that had [] enchantment(s) |  
[2024-03-25 00:19:42] [world] The Player <NezukoChan> has picked 2 of SUGAR_CANE at X= -10156, Y= 63, Z= 4092 that had [] enchantment(s) |  
[2024-03-25 00:19:44] [world] The Player <NezukoChan> has picked 3 of SUGAR_CANE at X= -10154, Y= 63, Z= 4089 that had [] enchantment(s) |  
[2024-03-25 00:19:46] [world_nether] The Player <Brycethelegend> has picked 3 of QUARTZ at X= -291, Y= 44, Z= -74 that had [] enchantment(s) |  
[2024-03-25 00:19:46] [world] The Player <NezukoChan> has picked 4 of SUGAR_CANE at X= -10151, Y= 63, Z= 4087 that had [] enchantment(s) |  
[2024-03-25 00:19:46] [world] The Player <NezukoChan> has picked 3 of SUGAR_CANE at X= -10150, Y= 64, Z= 4085 that had [] enchantment(s) |  
[2024-03-25 00:19:47] [world_nether] The Player <Brycethelegend> has picked 1 of QUARTZ at X= -290, Y= 45, Z= -75 that had [] enchantment(s) |  
[2024-03-25 00:19:48] [world_nether] The Player <Brycethelegend> has picked 2 of QUARTZ at X= -290, Y= 44, Z= -75 that had [] enchantment(s) |  
[2024-03-25 00:19:48] [world] The Player <NezukoChan> has picked 4 of SUGAR_CANE at X= -10152, Y= 63, Z= 4083 that had [] enchantment(s) |  
[2024-03-25 00:19:49] [world_nether] The Player <Brycethelegend> has picked 1 of QUARTZ at X= -289, Y= 44, Z= -74 that had [] enchantment(s) |  
[2024-03-25 00:19:50] [world_nether] The Player <Brycethelegend> has picked 1 of QUARTZ at X= -289, Y= 45, Z= -75 that had [] enchantment(s) |  
[2024-03-25 00:19:54] [world] The Player <NezukoChan> has picked 4 of SUGAR_CANE at X= -10165, Y= 63, Z= 4079 that had [] enchantment(s) |  
[2024-03-25 00:19:55] [world] The Player <NezukoChan> has picked 1 of SUGAR_CANE at X= -10165, Y= 63, Z= 4079 that had [] enchantment(s) |  
[2024-03-25 00:19:56] [world] The Player <NezukoChan> has picked 3 of SUGAR_CANE at X= -10167, Y= 63, Z= 4074 that had [] enchantment(s) |  
[2024-03-25 00:19:58] [world] The Player <NezukoChan> has picked 1 of SUGAR_CANE at X= -10171, Y= 63, Z= 4074 that had [] enchantment(s) |  
[2024-03-25 00:20:05] [world_nether] The Player <Brycethelegend> has picked 1 of QUARTZ at X= -273, Y= 44, Z= -87 that had [] enchantment(s) |  
[2024-03-25 00:20:06] [world] The Player <NezukoChan> has picked 2 of SUGAR_CANE at X= -10176, Y= 63, Z= 4076 that had [] enchantment(s) |  
[2024-03-25 00:20:06] [world_nether] The Player <Brycethelegend> has picked 1 of QUARTZ at X= -274, Y= 44, Z= -87 that had [] enchantment(s) |  
[2024-03-25 00:20:07] [world_nether] The Player <Brycethelegend> has picked 1 of QUARTZ at X= -273, Y= 44, Z= -86 that had [] enchantment(s) |  
